BidangUsaha,JumlahAset,Lokasi,MataUang,Nama,Persentase,Satuan,StatusOperasi,TahunKomersil,KodeEmiten,NamaEmiten
INDUSTRI PEMBANGKIT LISTRIK ENERGI YANG TERBARUKAN/RENEWABLE ENERGY IPP,37045588,JAKARTA,USD,PT NAGATA DINAMIKA HIDRO PONGKO,98.51,PENUH,TIDAK DIKETAHUI,0,ABMM,ABM INVESTAMA TBK
"PENGEMBANGAN DAN PERTAMBANGAN SUMBERDAYA, TERUTAMA BATUBARA/DEVELOPMENT AND MINING RESOURCES PRINCIPALLY COAL",3003316,JAKARTA,USD,PT NIRMALA COAL NUSANTARA,70.0,PENUH,TIDAK DIKETAHUI,2017,ABMM,ABM INVESTAMA TBK
PELAYANAN JASA KAPAL/SHIP OPERATIONAL SERVICES,21550303,JAKARTA,USD,PT PELABUHAN BUANA REJA,99.99,PENUH,OPERASI,2018,ABMM,ABM INVESTAMA TBK
JASA DAN PERDAGANGAN UMUM/SERVICES AND GENERAL TRADING,81901896,JAKARTA,USD,PT PRIMA WIGUNA PARAMA,99.99,PENUH,OPERASI,2017,ABMM,ABM INVESTAMA TBK
INDUSTRI PEMBANGKIT LISTRIK ENERGI YANG TERBARUKAN/RENEWABLE ENERGY IPP,381356,JAKARTA,USD,PT PUNGGAWA NAGATA DINAMIKA HIDRO,83.59,PENUH,TIDAK DIKETAHUI,0,ABMM,ABM INVESTAMA TBK
PERDAGANGAN/TRADING,527710102,JAKARTA,USD,PT RADHIKA JANANTA RAYA,99.99,PENUH,OPERASI,2022,ABMM,ABM INVESTAMA TBK
PERDAGANGAN/TRADING,760817867,JAKARTA,USD,PT RESWARA MINERGI HARTAMA,99.99,PENUH,OPERASI,2010,ABMM,ABM INVESTAMA TBK
"PERENCANAAN REKAYASA MESIN, PENGEMBANGAN, DAN PEMBUATAN PERLENGKAPAN PENUNJANG ALAT- ALAT BERAT DAN ALAT ANGKUT BAHAN/ENGINEERING, DEVELOPMENT AND MANUFACTURE OF HEAVY EQUIPMENT ATTACHMENT AND MATERIALS HANDLING PRODUCTS",90217946,JAKARTA,USD,PT SANGGAR SARANA BAJA,99.99,PENUH,OPERASI,1977,ABMM,ABM INVESTAMA TBK
"PENGEMBANGAN DAN PERTAMBANGAN SUMBERDAYA, TERUTAMA BATUBARA/DEVELOPMENT AND MINING RESOURCES PRINCIPALLY COAL",56667334,JAKARTA,USD,PT TUNAS INTI ABADI,99.99,PENUH,OPERASI,2009,ABMM,ABM INVESTAMA TBK
INDUSTRI DAN PERDAGANGAN,0,JAKARTA,IDR,PT DAN SEBAGAINYA INDONESIA,0.0,PENUH,TIDAK AKTIF,0,ACES,PT ASPIRASI HIDUP INDONESIA TBK
INDUSTRI DAN PERDAGANGAN,69798754604,JAKARTA,IDR,PT KAWAN LAMA INOVASI,99.9767,PENUH,AKTIF,2017,ACES,PT ASPIRASI HIDUP INDONESIA TBK
INDUSTRI DAN PERDAGANGAN,30000000000,JAKARTA,IDR,PT KRISNA ASPIRASI SEJAHTERA,99.99,PENUH,AKTIF,2024,ACES,PT ASPIRASI HIDUP INDONESIA TBK
INDUSTRI DAN PERDAGANGAN,116914381588,JAKARTA,IDR,PT OMNI DIGITAMA INTERNUSA,30.0,PENUH,AKTIF,2016,ACES,PT ASPIRASI HIDUP INDONESIA TBK
INDUSTRI DAN PERDAGANGAN,353194049220,JAKARTA,IDR,PT TOYS GAMES INDONESIA,60.0,PENUH,AKTIF,2009,ACES,PT ASPIRASI HIDUP INDONESIA TBK
JASA KONSTRUKSI,220393,INDONESIA,IDR,PT ACSET PONDASI INDONUSA,100.0,JUTAAN,AKTIF,2020,ACST,PT ACSET INDONUSA TBK
JASA PENUNJANG KONSTRUKSI,116524,INDONESIA,IDR,PT ANEKA RAYA KONSTRUKSI MESINDO,99.94,JUTAAN,AKTIF,2016,ACST,PT ACSET INDONUSA TBK
JASA PENUNJANG KONSTRUKSI,49155,INDONESIA,IDR,PT ATMC PUMP SERVICES,100.0,JUTAAN,AKTIF,2015,ACST,PT ACSET INDONUSA TBK
JASA PENUNJANG KONSTRUKSI,409267,INDONESIA,IDR,PT BINTAI KINDENKO ENGINEERING INDONESIA,60.0,JUTAAN,AKTIF,2012,ACST,PT ACSET INDONUSA TBK
JASA PENUNJANG KONSTRUKSI,58191,INDONESIA,IDR,PT INNOTECH SYSTEMS,100.0,JUTAAN,AKTIF,2013,ACST,PT ACSET INDONUSA TBK
PERDAGANGAN BESAR ALAT BERAT,38830,INDONESIA,IDR,PT SACINDO MACHINERY,96.5,JUTAAN,AKTIF,2014,ACST,PT ACSET INDONUSA TBK
PROPERTI,280404435414,JAKARTA,IDR,PT MEGA GRAHA CITRA PERKASA,99.99,PENUH,BEROPERASIONAL,2019,ADCP,PT ADHI COMMUTER PROPERTI TBK
TIDAK AKTIF,1947107,JAKARTA,USD,PT SENTRA SINTETIKAJAYA,99.0,PENUH,TIDAK AKTIF,1998,ADMG,POLYCHEM INDONESIA TBK
INVESTASI,634655033,INDONESIA,USD,PT ADARO BATERAI INDONESIA,99.99,PENUH,NAN,0,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
INVESTASI,629420541,INDONESIA,USD,PT ADARO INDO ALUMINIUM,100.0,PENUH,NAN,0,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
INVESTASI,35769408,INDONESIA,USD,PT ALAM TRI CAKRA INDONESIA,90.84,PENUH,NAN,0,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
INVESTASI,1342385877,INDONESIA,USD,PT ALAM TRI DAYA INDONESIA,99.99,PENUH,NAN,0,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
"PENGGALIAN BATU, PASIR, DAN TANAH LIAT LAINNYA",6808,INDONESIA,USD,PT BASALT SINAR LESTARI,100.0,PENUH,BELUM BEROPERASI,0,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
PERTAMBANGAN,2121307,INDONESIA,USD,PT BATUAN ANUGERAH SEMESTA,100.0,PENUH,BELUM BEROPERASI,0,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
PERTAMBANGAN BATU KAPUR,1734314,INDONESIA,USD,PT BUMI ALAM SERAYA,100.0,PENUH,BEROPERASI,2024,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
PERTAMBANGAN,26652668,INDONESIA,USD,PT JULOI COAL,99.99,PENUH,BELUM BEROPERASI,0,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
PENGOLAHAN LOGAM,626343624,INDONESIA,USD,PT KALIMANTAN ALUMINIUM INDUSTRY,65.0,PENUH,BELUM BEROPERASI,0,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
PERTAMBANGAN,2148319,INDONESIA,USD,PT KALTENG COAL,99.99,PENUH,BELUM BEROPERASI,0,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
PERTAMBANGAN,110652469,INDONESIA,USD,PT LAHAI COAL,99.99,PENUH,BEROPERASI,2016,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
PERTAMBANGAN,1210114618,INDONESIA,USD,PT MARUWAI COAL,99.99,PENUH,BEROPERASI,2020,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
PERTAMBANGAN,2172542,INDONESIA,USD,PT SUMBER BARITO COAL,99.99,PENUH,BELUM BEROPERASI,0,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
"TRANSMISI, DISTRIBUSI DAN PENJUALAN TENAGA LISTRIK",212,SINGAPURA,USD,ADARO SOLAR INTERNATIONAL PTE LTD,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PERDAGANGAN DAN JASA,0,INDONESIA,USD,PT ADARO ANDALAN INDONESIA TBK,15.0,RIBUAN,NAN,2007,ADRO,ALAMTRI RESOURCES INDONESIA TBK
INVESTASI,634655,INDONESIA,USD,PT ADARO BATERAI INDONESIA,84.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
INVESTASI,102394,INDONESIA,USD,PT ADARO CLEAN ENERGY INDONESIA,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
INVESTASI,166908,INDONESIA,USD,PT ADARO INDO ALUMINIUM,84.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
JASA PERTAMBANGAN,2073595,INDONESIA,USD,PT ALAMTRI MINERALS INDONESIA TBK,84.0,RIBUAN,NAN,2016,ADRO,ALAMTRI RESOURCES INDONESIA TBK
INVESTASI,876078,INDONESIA,USD,PT ADARO POWER,87.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
PENYEDIA TENAGA LISTRIK,261,INDONESIA,USD,PT ADARO SARANA ENERGI TERBARUKAN,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
INVESTASI,273,INDONESIA,USD,PT ADARO WIND ENERGY,100.0,RIBUAN,NAN,0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
