Jumlah,Kategori,Nama,Pengendali,Persentase,KodeEmiten,NamaEmiten
4383489018.0,More Than 5%,PT TUNGGALADHI BASKARA,True,17.41,BLTA,BERLIAN LAJU TANKER TBK
2366547505.0,More Than 5%,PT ELANG MEGAH INTI,False,9.4,BLTA,BERLIAN LAJU TANKER TBK
445708436.0,More Than 5%,CGI HOLDINGS LIMITED,True,51.0,BLTZ,PT GRAHA LAYAR PRIMA TBK
349574856.0,More Than 5%,COREE CAPITAL LIMITED,False,40.0,BLTZ,PT GRAHA LAYAR PRIMA TBK
117943900.0,More Than 5%,PT CETAK BIRU KAPITAL,False,28.22,BLUE,PT BERKAH PRIMA PERKASA TBK
14590476265.0,More Than 5%,KASIKORN VISION FINANCIAL COMPANY PTE LTD,True,80.6,BMAS,PT BANK MASPION INDONESIA TBK
1870763156.0,More Than 5%,PT ALIM INVESTINDO,False,10.33,BMAS,PT BANK MASPION INDONESIA TBK
443901808.0,More Than 5%,KASIKORNBANK PUBLIC COMPANY LIMITED,False,2.45,BMAS,PT BANK MASPION INDONESIA TBK
181026624.0,More Than 5%,PT KASIKORN VISION FINANCIAL INDONESIA,False,1.0,BMAS,PT BANK MASPION INDONESIA TBK
4935430900.0,More Than 5%,PT BUNDA INVESTAMA INDONESIA,False,57.37,BMHS,PT BUNDAMEDIK TBK
48533333333.0,More Than 5%,PT DANANTARA ASSET MANAGEMENT (PERSERO),False,52.0,BMRI,PT BANK MANDIRI (PERSERO) TBK
7466666666.0,More Than 5%,INDONESIA INVESTMENT AUTHORITY,False,8.0,BMRI,PT BANK MANDIRI (PERSERO) TBK
1.0,More Than 5%,NEGARA REPUBLIK INDONESIA,True,0.0,BMRI,PT BANK MANDIRI (PERSERO) TBK
695199832.0,More Than 5%,CHANCE STAND FINANCE LIMITED,True,59.97,BMSR,BINTANG MITRA SEMESTARAYA TBK
7520655000.0,More Than 5%,PT MNC ASIA HOLDING TBK,True,45.99,BMTR,PT GLOBAL MEDIACOM TBK
1133440000.0,More Than 5%,PT TAKJUB FINANSIAL TEKNOLOGI,True,33.45,BNBA,BANK BUMI ARTA TBK
1000396641.0,More Than 5%,PT SURYA HUSADA INVESTMENT,True,29.53,BNBA,BANK BUMI ARTA TBK
600237984.0,More Than 5%,PT DANA GRAHA AGUNG,False,17.72,BNBA,BANK BUMI ARTA TBK
370982305.0,More Than 5%,PT BUDIMAN KENCANA LESTARI,False,10.95,BNBA,BANK BUMI ARTA TBK
22991336581.0,More Than 5%,CIMB GROUP SDN BHD,True,91.4452,BNGA,PT BANK CIMB NIAGA TBK
255399748.0,More Than 5%,PT COMMERCE KAPITAL,False,1.0158,BNGA,PT BANK CIMB NIAGA TBK
34312479550.0,More Than 5%,SORAK FINANCIAL HOLDINGS PTE LTD,True,45.0205,BNII,PT BANK MAYBANK INDONESIA TBK
25882393996.0,More Than 5%,MAYBANK OFFSHORE CORPORATE SERVICES,True,33.9596,BNII,PT BANK MAYBANK INDONESIA TBK
6653168749.0,More Than 5%,VITAL SOLUTION FUND,False,8.7295,BNII,PT BANK MAYBANK INDONESIA TBK
32244827604.0,More Than 5%,BANGKOK BANK PUBLIC COMPANY LIMITED,True,89.12,BNLI,BANK PERMATA TBK
274000000.0,More Than 5%,PT KURNIAMITRA DUTA SENTOSA TBK,False,23.71,BOBA,PT FORMOSA INGREDIENT FACTORY TBK
172784000.0,More Than 5%,TEXTURE MAKER ENTERPRISE CO LTD,False,14.95,BOBA,PT FORMOSA INGREDIENT FACTORY TBK
1122137000.0,Director,PT FALCON ASIA INVESTAMA,True,29.5,BOGA,PT BINTANG OTO GLOBAL TBK
533000000.0,More Than 5%,PT ASURANSI CENTRAL ASIA,False,8.88,BOLA,PT BALI BINTANG SEJAHTERA TBK
