kodeEmiten,NamaEmiten,field,year,contextRef,id,name,NamaPemilik,AlamatPemilik
AKSI,PT MINERAL SUMBERDAYA MANDIRI TBK,idx-cor:CounterpartyNameTradePayable,2023,PriorEndYearDuration_1640300_Rank1CounterpartyMember_ThirdPartyMember,IXF1640300E02_1451_00087_00_0001,PT RASITA KERINA MULIA,PT KARISMA LANGIT KHATULISTIWA,"Perumahan Graha Padma Jl. Padma Boulevard B5 No. 12 Lantai 1 - Kota Semarang, RT 002, RW 004, Kelurahan/Desa Tambakharjo, Kota Semarang, Provinsi Jawa Tengah"
ALDO,ALKINDO NARATAMA TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank1CounterpartyMember_ThirdPartyMember,IXF1620300E02_1368_00045_00_0001,PT SURYA RENGO CONTAINERS,SHANTOU MARIA INVESTMENT CO LTD,"Jl.kh.agus Salim No.4, Kelurahan/Desa Poris Plawad, Kecamatan Cipondoh, Kota Tangerang, Provinsi Banten"
ALDO,ALKINDO NARATAMA TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank1CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00044_00_0001,PT DYMATIC CHEMICALS INDONESIA,PT MITRA MANDIRI INTERNASIONAL,"Jl. Pitaniaga No.18, RT 01, RW 011, Kelurahan/Desa Cipeundeuy, Kecamatan Padalarang, Kabupaten Bandung Barat, Provinsi Jawa Barat"
ALDO,ALKINDO NARATAMA TBK,idx-cor:CounterpartyName,2023,PriorEndYearDuration_1620300_Rank1CounterpartyMember_ThirdPartyMember,IXF1620300E02_1368_00091_00_0001,PT SURYA RENGO CONTAINERS,SHANTOU MARIA INVESTMENT CO LTD,"Jl.kh.agus Salim No.4, Kelurahan/Desa Poris Plawad, Kecamatan Cipondoh, Kota Tangerang, Provinsi Banten"
ALDO,ALKINDO NARATAMA TBK,idx-cor:CounterpartyName,2023,PriorEndYearDuration_1620300_Rank1CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00090_00_0001,PT DYMATIC CHEMICALS INDONESIA,PT MITRA MANDIRI INTERNASIONAL,"Jl. Pitaniaga No.18, RT 01, RW 011, Kelurahan/Desa Cipeundeuy, Kecamatan Padalarang, Kabupaten Bandung Barat, Provinsi Jawa Barat"
ALDO,ALKINDO NARATAMA TBK,idx-cor:CounterpartyNameTradePayable,2024,CurrentYearDuration_1640300_Rank1CounterpartyMember_RelatedPartyMember,IXF1640300E02_1451_00042_00_0001,PT DYMATIC CHEMICALS INDONESIA,PT MITRA MANDIRI INTERNASIONAL,"Jl. Pitaniaga No.18, RT 01, RW 011, Kelurahan/Desa Cipeundeuy, Kecamatan Padalarang, Kabupaten Bandung Barat, Provinsi Jawa Barat"
ALDO,ALKINDO NARATAMA TBK,idx-cor:CounterpartyNameTradePayable,2023,PriorEndYearDuration_1640300_Rank1CounterpartyMember_RelatedPartyMember,IXF1640300E02_1451_00086_00_0001,PT DYMATIC CHEMICALS INDONESIA,PT MITRA MANDIRI INTERNASIONAL,"Jl. Pitaniaga No.18, RT 01, RW 011, Kelurahan/Desa Cipeundeuy, Kecamatan Padalarang, Kabupaten Bandung Barat, Provinsi Jawa Barat"
AMIN,PT ATELIERS MECANIQUES D INDONESIE TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_3620300_Rank9CounterpartyMember_ThirdPartyMember,IXF3620300E02_1368_00061_00_0001,PT PERKEBUNAN NUSANTARA XIII,PT PERKEBUNAN NUSANTARA III,"Jl. Sultan Abdurachman No.11, Kota Pontianak, Provinsi Kalimantan Barat"
ANTM,ANEKA TAMBANG TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank1CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00044_00_0001,PT BORNEO ALUMINA INDONESIA,PT INDONESIA ASAHAN ALUMINIUM,"Gedung Aneka Tambang, Lantai 2, Jalan T.b. Simatupang, Nomor 1,, RT 010, RW 004, Kelurahan/Desa Tanjung Barat, Jakarta Selatan, Provinsi Dki Jakarta"
ASII,ASTRA INTERNATIONAL TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_RelatedParty2Member,IXF1616000E02_1378_00013_00_0001,PT ASTRA HONDA MOTOR,SHANTOU MARIA INVESTMENT CO LTD,"Jl. Yos Sudarso, Sunter I, Jakarta Utara, Provinsi Dki Jakarta"
ASII,ASTRA INTERNATIONAL TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_RelatedParty3Member,IXF1616000E02_1378_00014_00_0001,PT ASTRA DAIHATSU MOTOR,SHANTOU JINJIA TRADING CO LTD,"Jl. Gaya Motor Iii No.5, Jakarta Utara, Kelurahan/Desa Sungai Bambu, Jakarta Utara, Provinsi Dki Jakarta"
ASII,ASTRA INTERNATIONAL TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_RelatedParty8Member,IXF1616000E02_1378_00019_00_0001,PT BHUMI JATI POWER,SUMI ENERGY VENTURES LLC,"Summitmas I, Lantai 15, Jalan Jend. Sudirman Kaveling 61-62, Kelurahan Senayan, Kecamatan Kebayoran Baru, Jakarta Selatan 12190., Jakarta Selatan, Provinsi Dki Jakarta"
ASII,ASTRA INTERNATIONAL TBK,idx-cor:PartyName,2023,PriorYearDuration_1616000_RelatedParty2Member,IXF1616000E02_1378_00037_00_0001,PT ASTRA HONDA MOTOR,SHANTOU MARIA INVESTMENT CO LTD,"Jl. Yos Sudarso, Sunter I, Jakarta Utara, Provinsi Dki Jakarta"
ASII,ASTRA INTERNATIONAL TBK,idx-cor:PartyName,2023,PriorYearDuration_1616000_RelatedParty3Member,IXF1616000E02_1378_00038_00_0001,PT ASTRA DAIHATSU MOTOR,SHANTOU JINJIA TRADING CO LTD,"Jl. Gaya Motor Iii No.5, Jakarta Utara, Kelurahan/Desa Sungai Bambu, Jakarta Utara, Provinsi Dki Jakarta"
ASII,ASTRA INTERNATIONAL TBK,idx-cor:PartyName,2023,PriorYearDuration_1616000_RelatedParty8Member,IXF1616000E02_1378_00043_00_0001,PT BHUMI JATI POWER,SUMI ENERGY VENTURES LLC,"Summitmas I, Lantai 15, Jalan Jend. Sudirman Kaveling 61-62, Kelurahan Senayan, Kecamatan Kebayoran Baru, Jakarta Selatan 12190., Jakarta Selatan, Provinsi Dki Jakarta"
ASII,ASTRA INTERNATIONAL TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank1CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00044_00_0001,PT ASTRA HONDA MOTOR,SHANTOU MARIA INVESTMENT CO LTD,"Jl. Yos Sudarso, Sunter I, Jakarta Utara, Provinsi Dki Jakarta"
ASII,ASTRA INTERNATIONAL TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank2CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00046_00_0001,PT ASTRA DAIHATSU MOTOR,SHANTOU JINJIA TRADING CO LTD,"Jl. Gaya Motor Iii No.5, Jakarta Utara, Kelurahan/Desa Sungai Bambu, Jakarta Utara, Provinsi Dki Jakarta"
ASII,ASTRA INTERNATIONAL TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank4CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00050_00_0001,PT BHUMI JATI POWER,SUMI ENERGY VENTURES LLC,"Summitmas I, Lantai 15, Jalan Jend. Sudirman Kaveling 61-62, Kelurahan Senayan, Kecamatan Kebayoran Baru, Jakarta Selatan 12190., Jakarta Selatan, Provinsi Dki Jakarta"
ASII,ASTRA INTERNATIONAL TBK,idx-cor:CounterpartyName,2023,PriorEndYearDuration_1620300_Rank1CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00090_00_0001,PT ASTRA HONDA MOTOR,SHANTOU MARIA INVESTMENT CO LTD,"Jl. Yos Sudarso, Sunter I, Jakarta Utara, Provinsi Dki Jakarta"
ASII,ASTRA INTERNATIONAL TBK,idx-cor:CounterpartyName,2023,PriorEndYearDuration_1620300_Rank2CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00092_00_0001,PT ASTRA DAIHATSU MOTOR,SHANTOU JINJIA TRADING CO LTD,"Jl. Gaya Motor Iii No.5, Jakarta Utara, Kelurahan/Desa Sungai Bambu, Jakarta Utara, Provinsi Dki Jakarta"
ASII,ASTRA INTERNATIONAL TBK,idx-cor:CounterpartyName,2023,PriorEndYearDuration_1620300_Rank4CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00096_00_0001,PT BHUMI JATI POWER,SUMI ENERGY VENTURES LLC,"Summitmas I, Lantai 15, Jalan Jend. Sudirman Kaveling 61-62, Kelurahan Senayan, Kecamatan Kebayoran Baru, Jakarta Selatan 12190., Jakarta Selatan, Provinsi Dki Jakarta"
ASII,ASTRA INTERNATIONAL TBK,idx-cor:CounterpartyNameTradePayable,2024,CurrentYearDuration_1640300_Rank1CounterpartyMember_RelatedPartyMember,IXF1640300E02_1451_00042_00_0001,PT ASTRA HONDA MOTOR,SHANTOU MARIA INVESTMENT CO LTD,"Jl. Yos Sudarso, Sunter I, Jakarta Utara, Provinsi Dki Jakarta"
