Nama,Closeness
PT WEICHAI INDONESIA UTAMA,1.0
HERMAN PRASETYO,1.0
PT EIKTO BATTERY INDONESIA,1.0
ANGELINA,1.0
PT INTERNASIONAL PRIMA NIAGA,1.0
IVAN M BASREWAN,1.0
PT EFA SEJAHTERA ABADI,1.0
AGUS HARIONO IBRAHIM,1.0
PT JAGA CITRA INTI,1.0
HELEN GUMANTI,1.0
JOHNNY,1.0
PT BANK CHINA CONSTRUCTION BANK INDONESIA TBK,1.0
PT MEDCO ENERGI INTERNASIONAL TBK,1.0
PT PANCA ANUGRAH WISESA TBK,1.0
MIDI UTAMA INDONESIA TBK,1.0
PT MITRA KELUARGA KARYASEHAT TBK,1.0
PT MADUSARI MURNI INDAH TBK,1.0
ANDI AGUS AMAAN ODDEK,1.0
JERY BORNEO PUTRA,1.0
MICHAEL STEVEN,1.0
PT TELEFAST INDONESIA TBK,1.0
PT TRIMUDA NUANSA CITRA TBK,1.0
PATRICIA PS PRASATYA,1.0
TRANS POWER MARINE TBK,1.0
CUI WEI,1.0
PATRICK NG HONG CHUAN,1.0
PT KREASIJAYA ADHIKARYA,1.0
YEO HOW,1.0
ANTON KEMAL TASLI KUMONTY,1.0
PT ASURANSI ASTRA BUANA,1.0
MOHAMMAD FARAUK,1.0
PT SERASI SHIPPING INDONESIA,1.0
DAVID RAKA BUDI NURCAHYA,1.0
PT SWADAYA HARAPAN NUSANTARA,1.0
WINARMAN HALIM,1.0
PT BINUANG MITRA BERSAMA BLOK DUA,1.0
DJAN FARIDZ,1.0
PT DIZAMATRA POWERINDO,1.0
TOMMY ISNUTOMO,1.0
PT ENERGI BATUBARA LESTARI,1.0
IRSAN SOSIAWAN,1.0
PT FAJAR GELORA INTI,1.0
AMRUL TANTYO TAN,1.0
PT IMECON ANUGERAH PERKASA,1.0
ISTAMAR,1.0
PT KRAKATAU TIRTA OPERASI DAN PEMELIHARAAN,1.0
ALEN BOBY HARTANTO,1.0
PT SINERGI DIGITAL TEKNOLOGI,1.0
EDIMAN,1.0
PT PELANDUK JAYA BERSAMA,1.0
ADAM MULIA,1.0
PT GAYA POETRA BANGKIT,1.0
YAN PENG,1.0
PT JAYA PUTRA PANIPAHAN,1.0
HERAWATI TANZIL,1.0
PT SCORPICANUS GEPI JOVINDO,1.0
BUDI CHENJAYA,1.0
PT PENTABIZ INTERNATIONAL,1.0
EMILIO SHAREEF WIBISONO,1.0
PT SINBAD KARYA PERDAGANGAN,1.0
AGUS SUPRIYADI,1.0
PT NICESO SUKSES INDONESIA,1.0
KATHRYN ALEXIS DUGAN,1.0
PT ENERGIZER INDONESIA,1.0
HERMAN THE,1.0
PT BINTANG INTER GLOBAL,1.0
LIM DUK JIN,1.0
PT MIWON INDONESIA,1.0
YOHANES PRATONDO,1.0
PT ARMADA INDONESIA MANDIRI,1.0
VINCENT SUKOTJO,1.0
PT TRANS ENERGY OPTIMA,1.0
CHEN ZHENXIU,1.0
PT GUONENG MINING INVESTMENT,1.0
SUHARDI GUNAWAN HALIM,1.0
PT ARISU INDONESIA,1.0
