Nama,Degree
PT WEHA TRANSPORTASI INDONESIA TBK,12.0
PAKUWON JATI TBK,12.0
PT ROCKFIELDS PROPERTI INDONESIA TBK,12.0
PT BINTANG OTO GLOBAL TBK,12.0
PP LONDON SUMATRA INDONESIA TBK,12.0
PT MAP BOGA ADIPERKASA TBK,12.0
PT DANANTARA ASSET MANAGEMENT (PERSERO),12.0
ALAKASA INDUSTRINDO TBK,12.0
PT AUSTINDO NUSANTARA JAYA TBK,12.0
FORTUNE MATE INDONESIA TBK,12.0
GUDANG GARAM TBK,12.0
PT GUNA TIMUR RAYA TBK,12.0
PUDJIADI PRESTIGE TBK,11.0
PT KRIDA JARINGAN NUSANTARA TBK,11.0
UOB KAY HIAN PTE LTD,11.0
PT VICTORIA INVESTAMA TBK,11.0
MUSTIKA RATU TBK,11.0
MAYORA INDAH TBK,11.0
PELAYARAN NELLY DWI PUTRI TBK,11.0
PEMBANGUNAN GRAHA LESTARI INDAH TBK,11.0
SEKAR LAUT TBK,11.0
ARGO PANTES TBK,11.0
PT COMMUNICATION CABLE SYSTEMS INDONESIA TBK,11.0
PT SARIGUNA PRIMATIRTA TBK,11.0
FIRST MEDIA TBK,11.0
PT BANK MANDIRI (PERSERO) TBK,11.0
PT ASABRI (PERSERO),10.0
PT AVIA AVIAN TBK,10.0
PT SLJ GLOBAL TBK,10.0
DHARMA SAMUDERA FISHING IND TBK,10.0
DARYA-VARIA LABORATORIA TBK,10.0
INDO STRAITS TBK,10.0
BANK OF SINGAPORE LIMITED,10.0
PT BANK CENTRAL ASIA TBK,10.0
BEKASI FAJAR INDUSTRIAL ESTATE TBK,10.0
PT INDO KOMODITI KORPORA TBK,10.0
TOBA PULP LESTARI TBK,10.0
PT INDOSAT TBK,10.0
JAYA REAL PROPERTY TBK,10.0
JAKARTA SETIABUDI INTERNASIONAL TBK,10.0
PT PELAYARAN TAMARIN SAMUDRA TBK,10.0
STAR PACIFIC TBK,10.0
CHAROEN POKPHAND INDONESIA TBK,10.0
PT GEOPRIMA SOLUSI TBK,10.0
DUTA ANGGADA REALTY TBK,10.0
WAHANA PRONATURAL TBK,9.0
PT SUMBER ALFARIA TRIJAYA TBK,9.0
BAYU BUANA TBK,9.0
PT BANK NEGARA INDONESIA (PERSERO) TBK,9.0
PT WIJAYA KUSUMA RAJAWALI,9.0
PT BERKAH PRIMA PERKASA TBK,9.0
SURYAMAS DUTAMAKMUR TBK,9.0
MAHAKA MEDIA TBK,9.0
CENTRAL OMEGA RESOURCES TBK,9.0
PT DHARMA POLIMETAL TBK,9.0
MPY GLOBAL SDN BHD,9.0
PT EASTPARC HOTEL TBK,9.0
PT OMNI INOVASI INDONESIA TBK,9.0
SURYA TOTO INDONESIA TBK,9.0
PT WILMAR CAHAYA INDONESIA TBK,9.0
PERDANA GAPURA PRIMA TBK,9.0
PT CASHLEZ WORLDWIDE INDONESIA TBK,9.0
WILMAR INTERNATIONAL LIMITED,9.0
MALINDO FEEDMILL TBK,9.0
MULTISTRADA ARAH SARANA TBK,8.0
PT TELEFAST INDONESIA TBK,8.0
NUSANTARA INFRASTRUCTURE TBK,8.0
DELTA DJAKARTA TBK,8.0
PT KENCANA PUTRA KENDARI,8.0
MIDI UTAMA INDONESIA TBK,8.0
RUKUN RAHARJA TBK,8.0
BUKALAPAK,8.0
SARANA MEDITAMA METROPOLITAN TBK,8.0
METRODATA ELECTRONICS TBK,8.0
PT ANDALAN PERKASA ABADI TBK,8.0
PT SURYA PERMATA ANDALAN TBK,8.0
PT GRAHA VENTURA MILENIAL GROUP,8.0
CITRA MARGA NUSAPHALA PERSADA TBK,8.0
PT CAHAYASAKTI INVESTINDO SUKSES TBK,8.0
PABRIK KERTAS TJIWI KIMIA TBK,8.0
PT BIMA SAKTI PERTIWI TBK,8.0
PT MITRA ENERGI PERSADA TBK,8.0
PT INDONESIA FIBREBOARD INDUSTRY TBK,8.0
PT ROYALINDO INVESTA WIJAYA TBK,8.0
PEMBANGUNAN JAYA ANCOL TBK,8.0
PT INDAH PRAKASA SENTOSA TBK,7.0
PT STEEL PIPE INDUSTRY OF INDONESIA TBK,7.0
PT MNC ASIA HOLDING TBK,7.0
PT PINAGO UTAMA TBK,7.0
PT GIHON TELEKOMUNIKASI INDONESIA TBK,7.0
APEXINDO PRATAMA DUTA TBK,7.0
PT ANDALAN SAKTI PRIMAINDO TBK,7.0
PT KAPUAS PRIMA COAL TBK,7.0
BANK PAN INDONESIA TBK,7.0
PT INDAH AGUNG MANDIRI,7.0
MERATUS JASA PRIMA TBK,7.0
PT INTI ANUGERAH PRATAMA,7.0
PT WAHANA INTERFOOD NUSANTARA TBK,7.0
PT META EPSI TBK,7.0
PT NUSATAMA BERKAH TBK,7.0
INDONESIA PRIMA PROPERTY TBK,7.0
PT OPTIMA PRIMA METAL SINERGI TBK,7.0
INDOPOLY SWAKARSA INDUSTRY TBK,7.0
TIRTA MAHAKAM RESOURCES TBK,7.0
TIGARAKSA SATRIA TBK,7.0
ALUMINDO LIGHT METAL INDUSTRY TBK,6.0
PT INDO-RAMA SYNTHETICS TBK,6.0
JEMBO CABLE COMPANY TBK,6.0
MITRA INTERNATIONAL RESOURCES TBK,6.0
PT MORA TELEMATIKA INDONESIA TBK,6.0
PT MITRA PINASTHIKA MUSTIKA TBK,6.0
PT ORGANON PHARMA INDONESIA TBK,6.0
INDOFOOD,6.0
PT WIDODO MAKMUR PERKASA TBK,6.0
PT YELOOO INTEGRA DATANET TBK,6.0
FORTUNE INDONESIA TBK,6.0
PT TRIMITRA PRAWARA GOLDLAND TBK,6.0
PT DIAMOND FOOD INDONESIA TBK,6.0
PT TRIMEGAH SEKURITAS INDONESIA TBK,6.0
MEGAPOLITAN DEVELOPMENTS TBK,6.0
PT HENSEL DAVEST INDONESIA TBK,6.0
BARAMULTI SUKSESSARANA TBK,6.0
PT BANK SMBC INDONESIA TBK,6.0
PT BUKIT ULUWATU VILLA TBK,6.0
PT DMS PROPERTINDO TBK,6.0
LIONMESH PRIMA TBK,6.0
RISTIA BINTANG MAHKOTASEJATI TBK,6.0
PT PRIMA CAKRAWALA ABADI TBK,6.0
PT SURYA FAJAR CAPITAL TBK,5.0
PT EMDEKI UTAMA TBK,5.0
SHANTOU HIGH-TECH INDUSTRIAL DEVELOPMENT ZONE,5.0
JAYA KONSTRUKSI MANGGALA PRATAMA TBK,5.0
PT SELARAS CITRA NUSANTARA PERKASA TBK,5.0
SUNSON TEXTILE MANUFACTURER TBK,5.0
PT BRAWIJAYA CAPITAL INVESTAMA,5.0
PT CISARUA MOUNTAIN DAIRY TBK,5.0
RAMAYANA LESTARI SENTOSA TBK,5.0
BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,5.0
MULTI INDOCITRA TBK,5.0
PT KOTA SATU PROPERTI TBK,5.0
PT INDUSTRI JAMU DAN FARMASI SIDO MUNCUL TBK,5.0
PT SOHO GLOBAL HEALTH TBK,5.0
PANINVEST TBK,5.0
JASUINDO TIGA PERKASA TBK,5.0
KEDAUNG INDAH CAN TBK,5.0
PT CAHAYAPUTRA ASA KERAMIK TBK,5.0
SHANTOU ZHONGFU ELECTRONIC TECHNOLOGY CO LTD,5.0
PT SINERGI INTI PLASTINDO TBK,5.0
PT XLSMART TELECOM SEJAHTERA TBK,5.0
BINTANG MITRA SEMESTARAYA TBK,5.0
PT BANK CIMB NIAGA TBK,5.0
BUMI TEKNOKULTURA UNGGUL TBK,5.0
BETONJAYA MANUNGGAL TBK,5.0
PT BUMI SERPONG DAMAI TBK,4.0
GUNAWAN DIANJAYA STEEL TBK,4.0
PT BUDI STARCH & SWEETENER TBK,4.0
PT SIGMA ENERGY COMPRESSINDO TBK,4.0
PT BASIS UTAMA PRIMA,4.0
ATLAS RESOURCES TBK,4.0
BAOTOU TUOLITUO TECHNOLOGY CO LTD,4.0
SARANACENTRAL BAJATAMA TBK,4.0
PT SIANTAR TOP TBK,4.0
PT TUNAS ALFIN TBK,4.0
TRIAS SENTOSA TBK,4.0
PT MAHA PROPERTI INDONESIA TBK,4.0
PT PANCA ANUGRAH WISESA TBK,4.0
MULIA INDUSTRINDO TBK,4.0
PT PERSADA CAPITAL INVESTAMA,4.0
INDAH KIAT PULP & PAPER TBK,4.0
PT BHAKTI MULTI ARTHA TBK,4.0
PT ARTHA MAHIYA INVESTAMA TBK,4.0
PT MINERAL INDUSTRI INDONESIA (PERSERO),4.0
PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY TBK,4.0
PT DYANDRA MEDIA INTERNATIONAL TBK,4.0
SHANTOU ZHONGBIN HETAI IMPORT AND EXPORT TRADE,4.0
PT ESTA MULTI USAHA TBK,4.0
PT LOTTE CHEMICAL TITAN TBK,4.0
PT MULIA BOGA RAYA TBK,4.0
PT BUYUNG POETRA SEMBADA TBK,4.0
PT HARTADINATA ABADI TBK,4.0
PT BERKAH HIKMAH ENERGI,4.0
PT KAWAN LAMA SEJAHTERA,3.0
PT DELTA WIBAWA BERSAMA,3.0
PT ANUGERAH KAGUM KARYA UTAMA TBK,3.0
PT SEMACOM INTEGRATED TBK,3.0
PT SREEYA SEWU INDONESIA TBK,3.0
PT BUNDA INVESTAMA INDONESIA,3.0
MNC CORPORATION,3.0
PT BANK MAYBANK INDONESIA TBK,3.0
GLAS TRUST SINGAPORE LTD,3.0
PT BAKRIE CAPITAL INDONESIA,3.0
PT ASIA PACIFIC INVESTAMA TBK,3.0
PT PROVIDENT INVESTASI BERSAMA TBK,3.0
PT TOURINDO GUIDE INDONESIA TBK,3.0
PT GRAHA SENTOSA PERSADA,3.0
PT DWIMURIA INVESTAMA ANDALAN,3.0
UOB KAY HIAN HONG KONG LTD,3.0
HT INVESTMENT DEVELOPMENT LTD,3.0
DBS BANK LTD,3.0
BISI INTERNATIONAL TBK,3.0
PT SAKTI GENERASI PERDANA,3.0
PT ARGO MANUNGGAL LAND DEVELOPMENT,3.0
PT ARKHA JAYANTI PERSADA TBK,3.0
ARTHAVEST TBK,3.0
PT ASURANSI JIWA KRESNA,3.0
TANAH LAUT TBK,3.0
PT APP PURINUSA EKAPERSADA,3.0
PT PEMBANGUNAN JAYA,3.0
PT MARK DYNAMICS INDONESIA TBK,3.0
PANIN SEKURITAS TBK,3.0
MODERN INTERNASIONAL TBK,3.0
PT MADUSARI MURNI INDAH TBK,3.0
PT BUANA ARTHA ANUGERAH TBK,3.0
PT DANA BRATA LUHUR TBK,3.0
TIRA AUSTENITE TBK,3.0
GEMA GRAHASARANA TBK,3.0
KMI WIRE AND CABLE TBK,3.0
PT HIMALAYA ENERGI PERKASA TBK,3.0
HUMPUSS INTERMODA TRANSPORTASI TBK,3.0
PT GRAND HOUSE MULIA TBK,3.0
PT MNC ENERGY INVESTMENTS TBK,3.0
PT IDEA INDONESIA AKADEMI TBK,3.0
PT WIRA GLOBAL SOLUSI TBK,3.0
YANAPRIMA HASTAPERSADA TBK,3.0
GRUP LIPPO,3.0
MATAHARI DEPARTMENT STORE TBK,3.0
WISMILAK INTI MAKMUR TBK,3.0
ASIA PACIFIC FIBERS TBK,3.0
PT ASURANSI JIWA IFG,3.0
PT MUARA SEJAGAT ABADI,3.0
PT DJASA UBERSAKTI TBK,3.0
SUPRA BOGA LESTARI TBK,3.0
PT FKS FOOD AND INGREDIENTS,3.0
PT TRIPUTRA INVESTINDO ARYA,3.0
YULIE SEKURITAS INDONESIA TBK,3.0
EKADHARMA INTERNATIONAL TBK,3.0
PT ENVY TECHNOLOGIES INDONESIA TBK,3.0
KALBE FARMA TBK,3.0
PT KARYA DWIMANUNGGAL SEJAHTERA,3.0
PT HARITA JAYARAYA,3.0
BNP PARIBAS SINGAPORE BRANCH WEALTH MANAGEMENT,3.0
PT AIRASIA INDONESIA TBK,3.0
PT 1 INTI DOT COM,3.0
PT GRAHATAMA KREASIBARU,2.0
FIDELITY FD SICAV,2.0
PT TRITIRTA INTI MANDIRI,2.0
PT TANCORP GLOBAL SENTOSA,2.0
PT BUANATATA ADISENTOSA,2.0
NIPPON STEEL CORPORATION,2.0
YAYASAN TUNAS INDONESIA JAYA,2.0
PT DAFAM PROPERTY INDONESIA TBK,2.0
REKSADANA NARADA SAHAM INDONESIA,2.0
PT GLOBAL DINAMIKA KENCANA,2.0
INDOFOOD AGRI RESOURCES LTD,2.0
PT BEYOND MEDIA,2.0
COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,2.0
PT SUWARNA ARTA MANDIRI,2.0
PT CIPUTRA CORPORA,2.0
