Nama,Degree
PT YOFC INTERNATIONAL INDONESIA,4.0
C&D (SINGAPORE) BUSINESS PTE LTD,4.0
PT TRANS BUMI SERBARAJA,4.0
PT PRODIA DIACRO LABORATORIES,4.0
PT PRODIA OHI INTERNATIONAL,4.0
PT QERJA MANFAAT BANGSA,4.0
PT SINO ZONE INDUSTRY INDONESIA,4.0
PT WIRA GLOBAL SOLUSI TBK,4.0
MAHAKA MEDIA TBK,4.0
METRO REALTY TBK,4.0
PT SURYA PERMATA ANDALAN TBK,4.0
ANCORA INDONESIA RESOURCES TBK,4.0
PT BUKIT PRIMA BAHARI,4.0
PT MNC GS HOMESHOPPING,4.0
PT MEDIATE INDONESIA,4.0
PT SEMEN PADANG,4.0
PT SEMEN TONASA,4.0
PT SEJAHTERA ABADI SOLUSI,4.0
PT CITRA KARYA JABAR TOL,4.0
PT WILMAR CHEMICAL INDONESIA,4.0
PT SIGMA CIPTA CARAKA,4.0
PT INDOMOBIL PRIMA ENERGI,4.0
PT INDOTRUCK UTAMA,4.0
PT PENTA ARTHA IMPRESSI,4.0
HIGH SPEED RAILWAY CONTRACTOR CONSORTIUM,4.0
PT TIGA DUA DELAPAN,4.0
PT EMPAT MITRA INDIKA TENAGA SURYA,4.0
TRAFIGURA PTE LTD,4.0
PT TRIPUTRA ENERGI MEGATARA,4.0
PT BANK PANIN DUBAI SYARIAH TBK,4.0
PUDJIADI PRESTIGE TBK,4.0
PT PUTRA RAJAWALI KENCANA TBK,4.0
PAKUWON JATI TBK,4.0
SUPRA BOGA LESTARI TBK,4.0
CLIPAN FINANCE INDONESIA TBK,4.0
GOLDEN ENERGY MINES TBK,4.0
EXPLOITASI ENERGI INDONESIA TBK,4.0
CHAROEN POKPHAND INDONESIA TBK,4.0
PT DCI INDONESIA TBK,4.0
PT DAFAM PROPERTY INDONESIA TBK,4.0
INTILAND DEVELOPMENT TBK,4.0
PT TRISCO TAILORED APPAREL MANUFACTURING,4.0
PT MAP BOGA ADIPERKASA TBK,4.0
PT MERDEKA COPPER GOLD TBK,4.0
MEDIA NUSANTARA CITRA TBK,4.0
PT FILAMENDO SAKTI,4.0
PT ACSET INDONUSA TBK,4.0
PT MODERNLAND REALTY TBK,4.0
PT GRAHA ANDRASENTRA PROPERTINDO TBK,4.0
ADIRA DINAMIKA MULTI FINANCE TBK,4.0
WAHANA PRONATURAL TBK,4.0
PT ANUGERAH KAGUM KARYA UTAMA TBK,4.0
PT BANK AMAR INDONESIA TBK,4.0
MIDI UTAMA INDONESIA TBK,4.0
PT MINERAL INDUSTRI INDONESIA (PERSERO),4.0
PT INDOFOOD FORTUNA MAKMUR,4.0
PT HANWA INDONESIA,4.0
PT NUSANTARA EKSPRES KILAT,4.0
PT MULIA BOGA RAYA TBK,4.0
PT JAYA TRISHINDO TBK,4.0
PT IFORTE SOLUSI INFOTEK,4.0
PT ENERGI UNGGUL PERSADA,4.0
PT PLN INDONESIA POWER,4.0
PT WICAKSANA ANUGERAH SOLUSINDO,4.0
PT SARI DUMAI SEJATI,4.0
PT ASURANSI ASTRA BUANA,4.0
CHINA BAI GUI INTERNATIONAL TRADE LTD,4.0
PT PERTAMINA LUBRICANTS,4.0
PT FUNWORLD PRIMA,4.0
PT BERCA SCHINDLER LIFTS,4.0
PT STARONE MITRA TELEKOMUNIKASI,4.0
PT ADHI PERSADA BETON,4.0
PT EASTPARC HOTEL TBK,4.0
ENERGI MEGA PERSADA TBK,4.0
SEJAHTERARAYA ANUGRAHJAYA TBK,4.0
LEYAND INTERNATIONAL TBK,4.0
APEXINDO PRATAMA DUTA TBK,4.0
ATLAS RESOURCES TBK,4.0
ASURANSI DAYIN MITRA TBK,4.0
INDOMOBIL SUKSES INTERNASIONAL TBK,4.0
ASTRA OTOPARTS TBK,4.0
PT ANABATIC TECHNOLOGIES TBK,4.0
MULTI PRIMA SEJAHTERA TBK,4.0
TIGARAKSA SATRIA TBK,4.0
PT TRANSKON JAYA TBK,4.0
TRIAS SENTOSA TBK,4.0
SARANA MEDITAMA METROPOLITAN TBK,4.0
PT GLOBAL SUKSES SOLUSI TBK,4.0
PT SATRIA ANTARAN PRIMA TBK,4.0
PT SREEYA SEWU INDONESIA TBK,4.0
PT SOHO GLOBAL HEALTH TBK,4.0
PT IFISHDECO TBK,4.0
SUMI INDO KABEL TBK,4.0
JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT TBK,4.0
JEMBO CABLE COMPANY TBK,4.0
PT JASA MARGA TBK,4.0
PT PHAPROS TBK,3.0
PT INDO-RAMA SYNTHETICS TBK,3.0
INDIKA ENERGY TBK,3.0
VOKSEL ELECTRIC TBK,3.0
PT INOCYCLE TECHNOLOGY GROUP TBK,3.0
PT JASA ARMADA INDONESIA TBK,3.0
PT SUPERNOVA FLEXIBLE PACKAGING,3.0
PT MNC VISION NETWORKS TBK,3.0
PT STEEL PIPE INDUSTRY OF INDONESIA TBK,3.0
INDO TAMBANGRAYA MEGAH TBK,3.0
PT JASNITA TELEKOMINDO TBK,3.0
JAPFA COMFEED INDONESIA TBK,3.0
JAKARTA SETIABUDI INTERNASIONAL TBK,3.0
PT SEMEN INDONESIA LOGISTIK,3.0
PT ANUGRAH INTI KARYA,3.0
PT KARYA KHARISMA SENTOSA,3.0
PT DELI NUSANTARA PELABUHAN,3.0
PT COSCO SHIPPING LINES INDONESIA,3.0
PT DUNIA KIMIA JAYA,3.0
PT PREMIER DOUGHNUT INDONESIA,3.0
PT HARMONI PANCA UTAMA,3.0
PT OJI INDO MAKMUR PERKASA,3.0
PT LAYANA BUANA HOTELINDO,3.0
PT MERAK JAYA BETON,3.0
PT MNC KABEL MEDIACOM,3.0
PT BHARINTO EKATAMA,3.0
PT TRUBAINDO COAL MINING,3.0
PT JASAMARGA JAPEK SELATAN,3.0
PT JASAMARGA PROBOLINGGO BANYUWANGI,3.0
PT KIMIA FARMA TRADING AND DISTRIBUTION,3.0
PT PRIMA WIRA UTAMA,3.0
PT CATUR SENTOSA ANUGERAH,3.0
PT MEGADEPO INDONESIA,3.0
PT KAWAN LAMA INOVASI,3.0
PT RETAIL KITA INDONESIA,3.0
PT KONE INDO ELEVATOR,3.0
PT KRAKATAU TIRTA INDUSTRI,3.0
PT ALPHANOVATION DIGITAL TEKNINDO,3.0
PT SICEPAT MCASH INDONESIA,3.0
PT SURYA TEKNOLOGI PERKASA,3.0
PT V2 INDONESIA,3.0
PT BAHARI LAJU ANUGERAH,3.0
PT MITRA CIPTA TEKNOLOGI,3.0
PT ADARO INDONESIA,3.0
PT PADA IDI,3.0
ADANI GLOBAL FZE,3.0
PT SOCI MAS,3.0
PT PERTAMINA TRAINING & CONSULTING,3.0
PT LG ELECTRONICS INDONESIA,3.0
PT PANASONIC GOBEL INDONESIA,3.0
PT SURYA MEGAH MUSTIKA,3.0
PT SINARMAS BIO ENERGY,3.0
CENTURY COMMODITIES SOLUTION PTE LTD,3.0
PT ANGKASA PURA I (PERSERO),3.0
PT MEGAKARYA MAKMUR SENTOSA,3.0
PT SEMESTA MARGA RAYA,3.0
PT SUMBER SEGARA PRIMADAYA,3.0
PT DIRGANTARA YUDHA ARTHA,3.0
PT HAKAASTON,3.0
PT PUPUK SRIWIDJAJA,3.0
PT TRANSPORTASI JAKARTA,3.0
PT SAYAP MAS UTAMA,3.0
PT ATRI DISTRIBUSINDO,3.0
PT BUNGASARI FLOUR MILLS INDONESIA,3.0
PT PERMATA DUNIA SUKSES UTAMA,3.0
PT PURA BARUTAMA,3.0
PT TEREOS FKS INDONESIA,3.0
PT MANE INDONESIA,3.0
PT RIUNG MITRA LESTARI,3.0
PT INDORITEL MAKMUR INTERNASIONAL TBK,3.0
ELNUSA TBK,3.0
PELAYARAN NASIONAL BINA BUANA RAYA TBK,3.0
PT KROM BANK INDONESIA TBK,3.0
PT BANK NEO COMMERCE TBK,3.0
PT MNC ASIA HOLDING TBK,3.0
PT TRISULA INSAN TIARA,3.0
PT BATULICIN NUSANTARA MARITIM TBK,3.0
PT BANK GANESHA TBK,3.0
PT BHAKTI MULTI ARTHA TBK,3.0
BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,3.0
SENTUL CITY TBK,3.0
PT MANDIRI HERINDO ADIPERKASA TBK,3.0
PT RIMBA MUTIARA KUSUMA,3.0
INDUSTRI PAMERAN NUSANTARA,3.0
ELLIPSE PROJECT SAS,3.0
