Nama,cluster_fastrp_256
CHANDRA ASRI BIO INVESTMENT PTE LTD,2
CHANDRA ASRI CAPITAL PTE LTD,2
CHANDRA ASRI TRADING COMPANY PTE LTD,2
CHANNEL INTERNATIONAL INC,0
CHARLIE HOLDING CELLA PTE LTD,0
CHAROEN POKPHAND INDONESIA TBK,1
CHAROEN POKPHAND JAYA FARM,1
CHATIME HK LIMITED,0
CHEMICAL ASIA CORPORATION PTE LTD,0
CHEMICAL PETROLEUM INTERNATIONAL TRADING PTE LTD,1
CHEMICO GROUP CO LTD,2
CHENG I MACHINERY CO LTD,1
CHENG TUN METAL INTERNATIONAL TRADE PTE LTD,1
CHENGDONG INVESTMENT CORP SELF,2
CHEONGFULI (HONG KONG) COMPANY LIMITED,1
CHEVRON PHILLIPS CHEMICAL,1
CHICKEN OF THE SEA FROZEN FOODS,0
CHIN FUNG TRADING CO LTD,1
CHINA BAI GUI INTERNATIONAL TRADE LTD,1
CHINA CONSTRUCTION BANK CORPORATION,0
CHINA HUANENG GROUP FUEL CO LTD,1
CHINA MERCHANTS INTERNATIONAL PORT INTEGRATED DEVELOPMENT HONG KONG CO LTD,1
CHINA NATIONAL MACHINERY IMPORT AND EXPORT CORPORATION,1
CHINA RESOURCES POWER HOLDINGS COMPANY LIMITED,1
CHINA STEEL CORPORATION,1
CHINA STEEL GLOBAL TRADING CORPORATION,1
CHINFON CEMENT CORPORATION,2
CHINFON VIETNAM HOLDING,2
CHOICE PTE LTD,1
CIKAL JAYA PERMAI,1
CIMB GROUP SDN BHD,0
CIMBGNT SA CIMBPE,1
CIPTA COAL TRADING PTE LTD,1
CIPTA COMMODITY TRADING PTE LTD,1
CIPTA SATWA INTERNATIONAL,1
CIPTA SEJAHTERA SUKSES MAKMUR,0
CIPUTRA DEVELOPMENT TBK,1
CITA MINERAL INVESTINDO TBK,1
CITIC HEAVY INDUSTRIES CO LTD,2
CITILINK,0
CITRA MARGA NUSAPHALA PERSADA TBK,1
CITRA TUBINDO TBK,2
CITY RETAIL DEVELOPMENTS TBK,0
CJ GLOBAL HOLDINGS LIMITED,0
CJ INTERNATIONAL ASIA PTE LTD,0
CLARIANT CATALYSTS JAPAN KK,1
CLG ENTERPRISES INC,0
CLIPAN FINANCE INDONESIA TBK,0
CLOVER UNIVERSAL ENTERPRISE LIMITED,0
CNBM INTERNATIONAL CORPORATION,1
CNH INDUSTRIAL NV,0
CNH PRODUCTS INC,0
COASTAL GUJARAT POWER LTD,1
COCACOLA AMATIL LIMITED,1
COCKETT MARINE OIL AUSTRALIA PTY LTD,2
COIM ASIA PACIFIC PTE LTD,1
COLORPAK INDONESIA TBK,1
COMETPELL SRL,2
COMFEED FINANCE B.V,0
COMFEED TRADING B.V,0
