Nama,Closeness
LEONG HUP DISTRIBUTION PTE LTD,0.52
PT GADJAH RUKU,0.52
PT HAVEA MK II,0.52
PT HOK TONG,0.52
PT REMCO,0.52
PT SUNAN RUBBER,0.52
PT TANJUNG ENIM LESTARI,0.52
PT MITRA ENERGI BUANA,0.52
PT ANEKA BUMI PRATAMA,0.52
SHIZUOKA GAS CO LTD,0.52
PT MULYA TARA MANDIRI,0.52
PT GLOBAL PERKASA INVESTINDO,0.52
PT MARINA BERKAH INVESTAMA,0.52
PT LEONG HUP JAYAINDO,0.52
DRAGON AMITY PTE LTD,0.52
LEONG HUP SINGAPORE UOB KAYHIAN PTE LTD,0.52
PT KELOLA BIRU HARMONI,0.52
CHANNEL INTERNATIONAL INC,0.52
CRYSTAL COVE,0.52
GOURMET FUSION FOODS INC,0.52
JOMARA SEAFOOD INC,0.52
LAWRANCE WHOLESALE LLC,0.52
RELISH FOODS INC,0.52
SEAPROSES,0.52
SEAWORLD,0.52
STAR FOOD PRODUCTS INC,0.52
PT NGRUMAT BONDO UTOMO,0.52
PT PRAPAT TUNGGAL CIPTA,0.52
PT ADRINDO INTI PERKASA,0.52
BAFIN NEDERLAND BV,0.52
PT SEPATU BATA ONLINE,0.52
PT BELLA INDAH GAPURA,0.52
PT CIAWI MEGAH INDAH,0.52
PT DINAMIKA KARYA UTAMA,0.52
PT GAPURA PAKUAN PROPERTI,0.52
PT GRAHA AZURA,0.52
PT MANDIRI BANGUN KONSTRUKSI,0.52
PT MEGAPOLITAN GAPURAPRIMA,0.52
PT SUMBER DAYA NUSAPHALA,0.52
PT ABADIMUKTI GUNALESTARI,0.52
PT PACIFIC EXINTRACO,0.52
PT KHARISMA ANDALAS PUTRA,0.52
PT BINA CIPTA NUSANTARA,0.52
PT CITRAABADI KOTAPERSADA,0.52
CV DIGITAL JAYA SUMATERA,0.52
BATA INDUSTRIAL EUROPE NETHERLAND,0.52
BATA PRIMAVERA SDN BHD,0.52
BATA SHOE (SINGAPORE) PTE LTD,0.52
BATA SHOE COMPANY KENYA LIMITED,0.52
BATA SHOE OF THAILAND PUBLIC CO LTD,0.52
EMPRESAS COMERCIALES SA,0.52
UGANDA BATA SHOE CO LTD,0.52
BATA BRANDS SARL,0.52
BATA CENTRE SRO,0.52
GLOBAL FOOTWEAR SERVICE PTE LTD,0.52
BATA SHOE COMPANY (BANGLADESH) LIMITED,0.52
PT CAPITAL GLOBAL INVESTAMA,0.52
PT BANK CAPITAL INDONESIA TBK,0.52
PT ALPHEN INTERNASIONAL CORPORINDO,0.52
PT PEMENANG NUSANTARA INTERNASIONAL,0.52
CV TANJUNG EMAS INDAH,0.52
PT HERAFIKA,0.52
PT INTERLOCK KARYA BERJAYA,0.52
PT KALIBAN BANGUN PRAKARSA,0.52
PT LAKSANA PELUNGUT MANDIRI,0.52
PT LEMATANG JAYA,0.52
PT SEMPURNA MANDIRI SUKSES,0.52
PT CAHAYA PLASTINDO SEJAHTERA,0.52
PT GUNADAYA INTI SEJATI,0.52
PT INOVASI RITEL INDONESIA,0.52
PT MULTI GLOBAL PLASINDO,0.52
PT PLASTMART RITEL PRATAMA,0.52
CV MAHKOTA MAS PRATAMA,0.52
PT RENDAPLAS ANDIKA,0.52
CV ADIPURA MAS PLASTINDO,0.52
PT STELLARWAY INDONESIA,0.52
PENTA PACKAGING SOLUTION SDN BHD,0.52
PT PANCA BUDI NIAGA,0.52
PT PANCA BUDI PRATAMA,0.52
PT PANCA PACKINDO MAKMUR,0.52
PT POLITEK GRIN PACKINDO,0.52
PT POLYTECH INDO HAUSEN,0.52
PT KALIBAN BANGUN INDONESIA,0.52
PT KARYA SAPTA WIRA NUSANTARA,0.52
PT PEMENANG PROPERTI NASIONAL,0.52
PT PEMENANG YABES PROPERTI,0.52
PT PUTRA KARYA GEMILANG,0.52
PT WIJAYA NUSANTARA INTERNASIONAL,0.52
PTANGKASA PURA SANJAYA,0.52
PTGOSYEN INDO ASIA,0.52
PT RODAMAS,0.52
AGC INC,0.52
PT AUTO GLASS INDONESIA,0.52
AGC ASIA PACIFIC PTE LTD,0.52
AGC AUTOMOTIVE (THAILAND) CO LTD,0.52
AGC AUTOMOTIVE (VIETNAM) CO LTD,0.52
AGC AUTOMOTIVE CHINA CO LTD,0.52
AGC AUTOMOTIVE MALAYSIA SDN BHD,0.52
AGC AUTOMOTIVE PHILIPPINES INC,0.52
AUTOGLASS CO LTD,0.52
AGC SODA CORPORATION,0.52
AGC TECHNOLOGY SOLUTIONS (KUNSHAN) CO LTD,0.52
AGC TECHNOLOGY SOLUTIONS CO LTD,0.52
