Nama,Betweenness
CITA MINERAL INVESTINDO TBK,11984.0
PT ASURANSI TUGU PRATAMA INDONESIA TBK,11981.19
HARTONO,11981.0
PT HASNUR INTERNASIONAL SHIPPING TBK,11978.0
RUDY SUSANTO,11976.0
RIDWAN,11976.0
GINAWAN CHONDRO,11976.0
PT CINEMAXX GLOBAL PASIFIK,11730.21
PT SARIGUNA PRIMATIRTA TBK,11708.2
PT PRIMA CAKRAWALA ABADI TBK,11513.05
M ARSJAD RASJID PM,11461.89
PT HARAPAN DUTA PERTIWI TBK,11183.81
PT GLOBAL SUKSES SOLUSI TBK,11029.94
EXPRESS TRANSINDO UTAMA TBK,10681.06
GAJAH TUNGGAL TBK,10636.9
SUDHAMEK AGOENG WASPODO SOENJOTO,10610.15
ERWIN CIPUTRA,10566.27
ROBERT BUDI HARTONO,10474.08
ABDI NUSAJAYA,10422.54
JAYA KONSTRUKSI MANGGALA PRATAMA TBK,10388.27
PT BUKALAPAK.COM TBK,10029.0
BANK OF INDIA INDONESIA TBK,10000.64
PT PERINTIS TRINITI PROPERTI TBK,9996.83
PT ATELIERS MECANIQUES D INDONESIE TBK,9995.0
PT MARK DYNAMICS INDONESIA TBK,9995.0
ASIANA SENOPATI,9995.0
PIKKO LAND DEVELOPMENT TBK,9995.0
PT WEHA TRANSPORTASI INDONESIA TBK,9995.0
PT BUANA LINTAS LAUTAN TBK,9994.0
BUKAKA TEKNIK UTAMA TBK,9993.0
PT MIFA BERSAUDARA,9993.0
PT ROCKFIELDS PROPERTI INDONESIA TBK,9989.0
CHANDRA NATALIE WIDJAJA,9985.0
SINTONG PANJAITAN,9985.0
TETTY BR MANURUNG,9985.0
PT ASURANSI JIWA INHEALTH INDONESIA,9917.49
MIRZA ADITYASWARA,9626.64
PT TIARA MARGA TRAKINDO,9376.28
MAMAY MAYANG SUMBI,9268.0
BRATA YOS KUSMAH,9268.0
AHMAD ABDULLAH ALYDRUS,9268.0
ADHI INDRAWAN,9224.98
NOUMIRA SJAHRIL,8964.0
SULTHON SJAHRIL,8964.0
AGUS DW MARTOWARDOJO,8946.66
FRANSISKUS RULY ARYAWAN,8861.72
HARTONO ATMADJA,8610.15
MILY,8476.25
LILY,8475.25
KEVIN JONG,8288.97
LILIK ENDAH HARIATI,8237.5
JOKO WIDODO,8225.42
BANK ARTHA GRAHA INTERNASIONAL TBK,8121.46
SONA TOPAS TOURISM INDUSTRY TBK,7998.78
NIRWAN DERMAWAN BAKRIE,7998.0
PT OBM DRILCHEM TBK,7998.0
KALBE FARMA TBK,7998.0
PT TUNAS JAYA PERKASA,7998.0
PT BUYUNG POETRA SEMBADA TBK,7998.0
MULTI INDOCITRA TBK,7998.0
PT FREEPORT INDONESIA,7998.0
PT ASIA PACIFIC INVESTAMA TBK,7998.0
COLORPAK INDONESIA TBK,7997.0
PT GRAHA ANDRASENTRA PROPERTINDO TBK,7995.0
SATRIJANTO TIRTAWISATA,7992.0
MANOJ PITAMBER NANWANI,7992.0
PT SANURHASTA MITRA TBK,7992.0
PT KALIMANTAN CITRA BARA,7992.0
SOLIHIN,7992.0
