Nama,PageRank
PT SOECHI LINES TBK,0.4
SONA TOPAS TOURISM INDUSTRY TBK,0.4
PT DENSO SALES INDONESIA,0.4
PT INDOFARMA GLOBAL MEDIKA,0.4
PT BANK PANIN DUBAI SYARIAH TBK,0.4
JAYA REAL PROPERTY TBK,0.4
PT MAYBANK INDONESIA FINANCE,0.4
PANIN FINANCIAL TBK,0.4
PT PERTAMINA PATRA NIAGA,0.4
PT MSIG LIFE INSURANCE INDONESIA TBK,0.4
PT DCI INDONESIA TBK,0.39
PT TIGA BERLIAN ELECTRIC,0.39
PT MEGALESTARI EPACK SENTOSARAYA TBK,0.39
PT WIDODO MAKMUR UNGGAS TBK,0.39
PT PERUSAHAAN GAS NEGARA TBK,0.39
PT UNI-CHARM INDONESIA TBK,0.39
PT TRISULA TEXTILE INDUSTRIES TBK,0.39
PT PRO 8 INDONESIA,0.39
XL,0.39
GUNUNG STEEL CO LTD,0.39
PT ALTRA RAYA,0.39
PT PERDANA ADILOKA,0.39
PT RELIANCE MANAJER INVESTASI,0.39
PT RUMAH KARYA ENTERTAINMENT,0.39
PT PLAZA INDONESIA MANDIRI,0.39
PT BANK NANO SYARIAH,0.38
PT RHEEM INDONESIA,0.38
PT ELNUSA TRANS SAMUDERA,0.38
PT BAHTERA LISTRINDO JAYA,0.38
PT SARI WARNA ASLI TEXTILE INDUSTRY,0.38
PT BATAVIA PROSPERINDO TRANS TBK,0.38
PT GTS INTERNASIONAL TBK,0.38
PT PP PROPERTI TBK,0.38
INDOFOOD SUKSES MAKMUR TBK,0.38
PT INDONESIA FIBREBOARD INDUSTRY TBK,0.38
PT OKAMURA CHITOSE INDONESIA,0.38
PT MEGA MANUNGGAL PROPERTY TBK,0.37
PT BUKIT WELIRANG INDAH,0.37
PABRIK KERTAS TJIWI KIMIA TBK,0.37
PT TELKOM INDONESIA (PERSERO) TBK,0.37
PT FAST FOOD INDONESIA TBK,0.37
PT DIGITAL MEDIATAMA MAXIMA TBK,0.37
PT PERTAMINA HULU ENERGI,0.37
PT INDOMARCO PRISMATAMA,0.37
PT BANK MANDIRI (PERSERO) TBK,0.37
FKS MULTI AGRO TBK,0.37
PT SOLUSI BANGUN INDONESIA TBK,0.37
PT IDEA INDONESIA AKADEMI TBK,0.37
ADIRA DINAMIKA MULTI FINANCE TBK,0.36
PT SUKANDA DJAYA,0.36
PT GLOBAL MEDIACOM TBK,0.36
PT WOORI FINANCE INDONESIA TBK,0.36
PT LOTTE CHEMICAL TITAN TBK,0.36
PT JASA ARMADA INDONESIA TBK,0.36
PT SANTOS JAYA ABADI,0.36
PT HUTCHISON 3 INDONESIA,0.35
PT STARONE MITRA TELEKOMUNIKASI,0.35
PT AGUNG SEMESTA SEJAHTERA TBK,0.35
BUMI TEKNOKULTURA UNGGUL TBK,0.35
PT INTAN BARU PRANA TBK,0.35
PT ELECTRONIC CITY INDONESIA TBK,0.35
PT TUNAS ALFIN TBK,0.35
PT INDONESIA KENDARAAN TERMINAL TBK,0.35
PT LION SUPER INDO,0.35
RADIANT UTAMA INTERINSCO TBK,0.35
PT MAHKOTA ANDALAN SAWIT,0.35
PT SICEPAT EKSPRES INDONESIA,0.35
PT INDEXIM COALINDO,0.35
PT PRODIA DIACRO LABORATORIES,0.35
PT DAFAM MAJU BERSAMA,0.35
PT DAFAM MAMBO INTERNATIONAL,0.35
MULTISTRADA ARAH SARANA TBK,0.35
ASURANSI DAYIN MITRA TBK,0.35
ABM INVESTAMA TBK,0.34
PT BTPNS VENTURA,0.34
MATAHARI PUTRA PRIMA TBK,0.34
RADANA BHASKARA FINANCE TBK,0.34
PT BATULICIN NUSANTARA MARITIM TBK,0.34
METRODATA ELECTRONICS TBK,0.34
WICAKSANA OVERSEAS INTERNATIONAL TBK,0.34
DUTA PERTIWI TBK,0.34
DELTA DJAKARTA TBK,0.34
PT HOTEL FITRA INTERNATIONAL TBK,0.34
PT HIMALAYA ENERGI PERKASA TBK,0.34
PUDJIADI & SONS TBK,0.34
PT SINGARAJA PUTRA TBK,0.34
