Nama,Jabatan,Independen,KodeEmiten,NamaEmiten
PINARTO SUTANTO,COMMISSIONER,False,TOTL,TOTAL BANGUN PERSADA TBK
LILIANA KOMAJAYA,COMMISSIONER,False,TOTL,TOTAL BANGUN PERSADA TBK
WIBOWO,COMMISSIONER,False,TOTL,TOTAL BANGUN PERSADA TBK
RUDI SURYAJAYA KOMAJAYA,COMMISSIONER,False,TOTL,TOTAL BANGUN PERSADA TBK
RUSDY DARYONO,COMMISSIONER,True,TOTL,TOTAL BANGUN PERSADA TBK
BENNY SURYANTO,PRESIDENT COMMISIONER,False,TOTO,SURYA TOTO INDONESIA TBK
HIROMOTO HARANO,VICE PRESIDENT COMMISIONER,False,TOTO,SURYA TOTO INDONESIA TBK
UMARSONO ANDY,COMMISSIONER,False,TOTO,SURYA TOTO INDONESIA TBK
GUNAWAN SUMANA,COMMISSIONER,True,TOTO,SURYA TOTO INDONESIA TBK
SETIA BUDI PURWADI,COMMISSIONER,True,TOTO,SURYA TOTO INDONESIA TBK
KUSMAYANTO KADIMAN,COMMISSIONER,True,TOWR,SARANA MENARA NUSANTARA TBK
ARIO WIBISONO,COMMISSIONER,False,TOWR,SARANA MENARA NUSANTARA TBK
JOHN ARISTIANTO PRASETIO,COMMISSIONER,True,TOWR,SARANA MENARA NUSANTARA TBK
KENNY HARJO,PRESIDENT COMMISIONER,False,TOWR,SARANA MENARA NUSANTARA TBK
TAN EK KIA,VICE PRESIDENT COMMISIONER,True,TPIA,PT CHANDRA ASRI PACIFIC TBK
HO HON CHEONG,COMMISSIONER,True,TPIA,PT CHANDRA ASRI PACIFIC TBK
AGUS SALIM PANGESTU,COMMISSIONER,False,TPIA,PT CHANDRA ASRI PACIFIC TBK
LIM CHONG THIAN,COMMISSIONER,False,TPIA,PT CHANDRA ASRI PACIFIC TBK
SAKCHAI PATIPARNPREECHAVUD,COMMISSIONER,False,TPIA,PT CHANDRA ASRI PACIFIC TBK
BANDHIT THAMPRAJAMCHIT,COMMISSIONER,False,TPIA,PT CHANDRA ASRI PACIFIC TBK
SANTI WASANASIRI,COMMISSIONER,False,TPIA,PT CHANDRA ASRI PACIFIC TBK
DJOKO SUYANTO,PRESIDENT COMMISIONER,True,TPIA,PT CHANDRA ASRI PACIFIC TBK
HONGISISILIA,COMMISSIONER,True,TPMA,TRANS POWER MARINE TBK
I ADE SUNDARI P,PRESIDENT COMMISIONER,False,TPMA,TRANS POWER MARINE TBK
ROFIKOH ROKHIM,PRESIDENT COMMISIONER,True,TRIM,PT TRIMEGAH SEKURITAS INDONESIA TBK
EDY SUGITO,COMMISSIONER,True,TRIM,PT TRIMEGAH SEKURITAS INDONESIA TBK
SEPTIAN STARLIN,PRESIDENT COMMISIONER,False,TRIN,PT PERINTIS TRINITI PROPERTI TBK
MATIUS JUSUF,COMMISSIONER,False,TRIN,PT PERINTIS TRINITI PROPERTI TBK
HENRY SUSANTO,COMMISSIONER,True,TRIN,PT PERINTIS TRINITI PROPERTI TBK
DEDET YANDRINAL,PRESIDENT COMMISIONER,False,TRIO,TRIKOMSEL OKE TBK
HERMIN HARTONO,COMMISSIONER,True,TRIO,TRIKOMSEL OKE TBK
TJHOI LISA TJAHJADI,PRESIDENT COMMISIONER,False,TRIS,TRISULA INTERNATIONAL TBK
FENDY SUTANTO,COMMISSIONER,True,TRIS,TRISULA INTERNATIONAL TBK
JEONG SUBOK,PRESIDENT COMMISIONER,False,TRJA,PT TRANSKON JAYA TBK
