Jabatan,Nama,KodeEmiten,NamaEmiten
MEMBER,IRWAN SETIA,NRCA,PT NUSA RAYA CIPTA TBK
MEMBER,KARDINAL KARIM,NRCA,PT NUSA RAYA CIPTA TBK
HEAD,HILMAN RISAN,NTBK,PT NUSATAMA BERKAH TBK
MEMBER,SYAHIDUL ANAM,NTBK,PT NUSATAMA BERKAH TBK
MEMBER,TONY WIDHARMA,NTBK,PT NUSATAMA BERKAH TBK
HEAD,SELAMAT,NZIA,PT NUSANTARA ALMAZIA TBK
MEMBER,NURAENI,NZIA,PT NUSANTARA ALMAZIA TBK
MEMBER,WIDIA PUSPA KARTIKA PUTRI,NZIA,PT NUSANTARA ALMAZIA TBK
HEAD,JOHN PIETER NAZAR,OASA,PT MAHARAKSA BIRU ENERGI TBK
MEMBER,ARIEF BUDI WICAKSONO,OASA,PT MAHARAKSA BIRU ENERGI TBK
MEMBER,ANDI SOLICHIN GANTAMA,OASA,PT MAHARAKSA BIRU ENERGI TBK
HEAD,DARMAJI NASIM,OBMD,PT OBM DRILCHEM TBK
MEMBER,TRI ENDARTO SAPUTRO,OBMD,PT OBM DRILCHEM TBK
MEMBER,KOSWARA,OBMD,PT OBM DRILCHEM TBK
HEAD,ZAINUDDIN EFFENDI,OCAP,ONIX CAPITAL TBK
MEMBER,ADY SATRIA DAULAY,OCAP,ONIX CAPITAL TBK
MEMBER,YAN SYAFRIN,OCAP,ONIX CAPITAL TBK
HEAD,SRIYATI MANGULAHI HUTAURUK,OILS,PT INDO OIL PERKASA TBK
MEMBER,BENNY LIMANTO,OILS,PT INDO OIL PERKASA TBK
MEMBER,RUDY TJANDRA,OILS,PT INDO OIL PERKASA TBK
HEAD,MURSID SETIADJI,OKAS,ANCORA INDONESIA RESOURCES TBK
MEMBER,ANGELUS SEATO MEINARDO,OKAS,ANCORA INDONESIA RESOURCES TBK
MEMBER,REZA ADHYTIA DANTUSOLANG,OKAS,ANCORA INDONESIA RESOURCES TBK
HEAD,VALENTINO DANNY LUMANTO,OLIV,PT OSCAR MITRA SUKSES SEJAHTERA TBK
MEMBER,ARIE YUDHA PERMANA,OLIV,PT OSCAR MITRA SUKSES SEJAHTERA TBK
MEMBER,AGUS YASIN,OLIV,PT OSCAR MITRA SUKSES SEJAHTERA TBK
HEAD,LUTFI DAHLAN,OMRE,INDONESIA PRIMA PROPERTY TBK
MEMBER,RUDI HARYANTO,OMRE,INDONESIA PRIMA PROPERTY TBK
MEMBER,YEANETTE WIDIJASTUTI WIDJAJA,OMRE,INDONESIA PRIMA PROPERTY TBK
HEAD,KENTARTO,OPMS,PT OPTIMA PRIMA METAL SINERGI TBK
MEMBER,BAMBANG AGUS SANJAYA,OPMS,PT OPTIMA PRIMA METAL SINERGI TBK
MEMBER,SAMSUL ANAM,OPMS,PT OPTIMA PRIMA METAL SINERGI TBK
HEAD,POLTAK SIHOTANG,PADI,MINNA PADI INVESTAMA SEKURITAS TBK
MEMBER,DAVID PRASETIO,PADI,MINNA PADI INVESTAMA SEKURITAS TBK
MEMBER,BULAN LASTIAR SIAHAAN,PADI,MINNA PADI INVESTAMA SEKURITAS TBK
HEAD,KUMARI AK,PALM,PT PROVIDENT INVESTASI BERSAMA TBK
MEMBER,BOYKE ANTONIUS NABA,PALM,PT PROVIDENT INVESTASI BERSAMA TBK
MEMBER,IGNATIUS ARRIE SETIAWAN,PALM,PT PROVIDENT INVESTASI BERSAMA TBK
HEAD,VERONICA PUDJIATI LIAS,PAMG,PT BIMA SAKTI PERTIWI TBK
MEMBER,STEVEN HARTANTO,PAMG,PT BIMA SAKTI PERTIWI TBK
MEMBER,PENNY HALIM,PAMG,PT BIMA SAKTI PERTIWI TBK
HEAD,HARDJO SUBROTO LILIK,PANI,PT PANTAI INDAH KAPUK DUA TBK
MEMBER,DJISMAN SIMANDJUNTAK,PANI,PT PANTAI INDAH KAPUK DUA TBK
MEMBER,PURBA SIBARANI,PANI,PT PANTAI INDAH KAPUK DUA TBK
HEAD,AGUS ARIANDY SIJOATMODJO,PANR,PANORAMA SENTRAWISATA TBK
MEMBER,DANIEL MARTINUS,PANR,PANORAMA SENTRAWISATA TBK
MEMBER,OLIP SUSANTO,PANR,PANORAMA SENTRAWISATA TBK
HEAD,MUSTOFA SSOS,PANS,PANIN SEKURITAS TBK
MEMBER,STEVEN HIMAWAN,PANS,PANIN SEKURITAS TBK
MEMBER,ILVAN SAPUTRA,PANS,PANIN SEKURITAS TBK
HEAD,MAKMUR DARMO,PBID,PT PANCA BUDI IDAMAN TBK
MEMBER,AMAN SYARIEF,PBID,PT PANCA BUDI IDAMAN TBK
MEMBER,SUTOPO INSJA,PBID,PT PANCA BUDI IDAMAN TBK
HEAD,ROESDIMAN SOEGIARSO,PBSA,PT PARAMITA BANGUN SARANA TBK
MEMBER,STEVEN RORONG,PBSA,PT PARAMITA BANGUN SARANA TBK
MEMBER,ANGKOLA OGESSARDO SIREGAR,PBSA,PT PARAMITA BANGUN SARANA TBK
HEAD,IDA BAGUS OKA NILA,PCAR,PT PRIMA CAKRAWALA ABADI TBK
MEMBER,DJUNGGU H SITORUS AKT,PCAR,PT PRIMA CAKRAWALA ABADI TBK
MEMBER,HENDRA WARDANA,PCAR,PT PRIMA CAKRAWALA ABADI TBK
HEAD,AUGUSTINE CONSTATINE ROBOT,PDES,DESTINASI TIRTA NUSANTARA TBK
MEMBER,AR ARDIANTO SUTANTO,PDES,DESTINASI TIRTA NUSANTARA TBK
MEMBER,SYARIEF GUNAWAN,PDES,DESTINASI TIRTA NUSANTARA TBK
HEAD,CHENGWY KARLAM,PEGE,PT PANCA GLOBAL KAPITAL TBK
MEMBER,ISABELLA CHANDRAWATI THAMRIN,PEGE,PT PANCA GLOBAL KAPITAL TBK
MEMBER,KEZIA NATALIE,PEGE,PT PANCA GLOBAL KAPITAL TBK
HEAD,BIMO WIJAYANTO,PEHA,PT PHAPROS TBK
MEMBER,TOTOK BUDISANTOSO,PEHA,PT PHAPROS TBK
MEMBER,MOH FATKHUL MUJIB,PEHA,PT PHAPROS TBK
HEAD,CONNY LOLYTA RUMONDOR,PGAS,PT PERUSAHAAN GAS NEGARA TBK
MEMBER,WIDJONO HARDJANTO,PGAS,PT PERUSAHAAN GAS NEGARA TBK
MEMBER,RINI YULIUS,PGAS,PT PERUSAHAAN GAS NEGARA TBK
MEMBER,FAJAR ARIWINADI,PGAS,PT PERUSAHAAN GAS NEGARA TBK
MEMBER,YAN RAHADIAN,PGAS,PT PERUSAHAAN GAS NEGARA TBK
HEAD,SUPANDI WIDI SISWANTO,PGJO,PT TOURINDO GUIDE INDONESIA TBK
MEMBER,SARY,PGJO,PT TOURINDO GUIDE INDONESIA TBK
MEMBER,HENGKI DARMAWAN,PGJO,PT TOURINDO GUIDE INDONESIA TBK
HEAD,TAMBAK ONGGO,PGLI,PEMBANGUNAN GRAHA LESTARI INDAH TBK
MEMBER,DEWI SARTIKA,PGLI,PEMBANGUNAN GRAHA LESTARI INDAH TBK
MEMBER,BEZI SHOKHI HULU,PGLI,PEMBANGUNAN GRAHA LESTARI INDAH TBK
HEAD,INDRA SURYA,PGUN,PT PRADIKSI GUNATAMA TBK
MEMBER,AI SUPARDINI,PGUN,PT PRADIKSI GUNATAMA TBK
MEMBER,RISMON PURBA,PGUN,PT PRADIKSI GUNATAMA TBK
HEAD,RODRIQUES KURNIAWAN,PICO,PELANGI INDAH CANINDO TBK
MEMBER,HARIRI JUNAIDY,PICO,PELANGI INDAH CANINDO TBK
MEMBER,MANIK RAHAYU,PICO,PELANGI INDAH CANINDO TBK
HEAD,IRFAN SETIAPUTRA,PJAA,PEMBANGUNAN JAYA ANCOL TBK
MEMBER,TETI EKO PRATIWI,PJAA,PEMBANGUNAN JAYA ANCOL TBK
MEMBER,LOSO JUDIJANTO,PJAA,PEMBANGUNAN JAYA ANCOL TBK
MEMBER,BUNTORO,PJAA,PEMBANGUNAN JAYA ANCOL TBK
HEAD,SAMMY TONY SAUL LALAMENTIK,PKPK,PARAGON KARYA PERKASA TBK
MEMBER,FERIANTO,PKPK,PARAGON KARYA PERKASA TBK
MEMBER,ARI BINSAR,PKPK,PARAGON KARYA PERKASA TBK
HEAD,SINTONG PANJAITAN,PLIN,PLAZA INDONESIA REALTY TBK
MEMBER,SE MIN SUTANTO,PLIN,PLAZA INDONESIA REALTY TBK
MEMBER,CHANDRA WIDJAJA,PLIN,PLAZA INDONESIA REALTY TBK
HEAD,NURSALAM ANDI TABUSALLA,PMJS,PT PUTRA MANDIRI JEMBAR TBK
MEMBER,MAWAR IR NAPITUPULU,PMJS,PT PUTRA MANDIRI JEMBAR TBK
MEMBER,ARMAN HENDIYANTO,PMJS,PT PUTRA MANDIRI JEMBAR TBK
HEAD,NELSON TAMPUBOLON,PNBN,BANK PAN INDONESIA TBK
MEMBER,RIYANTO,PNBN,BANK PAN INDONESIA TBK
MEMBER,LINTANG NUGROHO,PNBN,BANK PAN INDONESIA TBK
MEMBER,LUKMAN ABDULLAH,PNBN,BANK PAN INDONESIA TBK
MEMBER,BAMBANG SETYOKO,PNBN,BANK PAN INDONESIA TBK
HEAD,TANTRY SOETJIPTO S,PNBS,PT BANK PANIN DUBAI SYARIAH TBK
MEMBER,EVI FIRMANSYAH,PNBS,PT BANK PANIN DUBAI SYARIAH TBK
MEMBER,DINNO INDIANO,PNBS,PT BANK PANIN DUBAI SYARIAH TBK
HEAD,KHAIDIR AMYPALUPY,PNGO,PT PINAGO UTAMA TBK
MEMBER,SYAIFUL ANWAR,PNGO,PT PINAGO UTAMA TBK
MEMBER,DEDIK BUDIANTA,PNGO,PT PINAGO UTAMA TBK
HEAD,SUGENG PURWANTO,PNIN,PANINVEST TBK
MEMBER,JANE PRATAMA,PNIN,PANINVEST TBK
MEMBER,LIDYAWATI SOESETIO,PNIN,PANINVEST TBK
HEAD,SUGENG PURWANTO,PNLF,PANIN FINANCIAL TBK
MEMBER,LIDYAWATI SOESETIO,PNLF,PANIN FINANCIAL TBK
MEMBER,KATTY SUSAN,PNLF,PANIN FINANCIAL TBK
HEAD,BUDHI LIMAN,PNSE,PUDJIADI & SONS TBK
MEMBER,IWAN SUGIONOSE,PNSE,PUDJIADI & SONS TBK
MEMBER,YUDI PRAYUDI SETIAWAN,PNSE,PUDJIADI & SONS TBK
HEAD,AHMAD SANTOSO,POLA,PT POOL ADVISTA FINANCE TBK
MEMBER,IRDAM HALIM,POLA,PT POOL ADVISTA FINANCE TBK
MEMBER,YUS INDRA,POLA,PT POOL ADVISTA FINANCE TBK
HEAD,BRIAN PRANEDA,POLI,PT POLLUX HOTELS GROUP TBK
MEMBER,ALBERT CHRISTO,POLI,PT POLLUX HOTELS GROUP TBK
MEMBER,IRENA LADY SOEMARLIM,POLI,PT POLLUX HOTELS GROUP TBK
HEAD,BRIAN PRANEDA,POLU,PT GOLDEN FLOWER TBK
MEMBER,IRENA LADY SOEMARLIM,POLU,PT GOLDEN FLOWER TBK
MEMBER,ALBERT CHRISTO,POLU,PT GOLDEN FLOWER TBK
HEAD,SUMIYATI,POLY,ASIA PACIFIC FIBERS TBK
MEMBER,DOEDY DARWIN,POLY,ASIA PACIFIC FIBERS TBK
MEMBER,HUSNI SIDIK SODIKIN,POLY,ASIA PACIFIC FIBERS TBK
HEAD,BERNADET MARIANI SISWANTO,PORT,PT NUSANTARA PELABUHAN HANDAL TBK
MEMBER,HENRY DJAJA KARIM,PORT,PT NUSANTARA PELABUHAN HANDAL TBK
MEMBER,JHON WERY,PORT,PT NUSANTARA PELABUHAN HANDAL TBK
HEAD,HENDRIK HARTONO,POSA,PT BLISS PROPERTI INDONESIA TBK
MEMBER,CYNTHIA MONICA,POSA,PT BLISS PROPERTI INDONESIA TBK
MEMBER,FANI WIJAYA,POSA,PT BLISS PROPERTI INDONESIA TBK
HEAD,JOSEP KARNADY,POWR,PT CIKARANG LISTRINDO TBK
MEMBER,FREDDY SOETANTO,POWR,PT CIKARANG LISTRINDO TBK
MEMBER,WIYANDI THE,POWR,PT CIKARANG LISTRINDO TBK
HEAD,I MADE SATYA GUNA,PPGL,PT PRIMA GLOBALINDO LOGISTIK TBK
MEMBER,ANDREAS SUNAR RATNOAJI,PPGL,PT PRIMA GLOBALINDO LOGISTIK TBK
MEMBER,ISMAIL HASAN,PPGL,PT PRIMA GLOBALINDO LOGISTIK TBK
HEAD,NARWANTO,PPRE,PT PP PRESISI TBK
MEMBER,ALBERT SIMANGUNSONG,PPRE,PT PP PRESISI TBK
MEMBER,TRI SARIPALUPI ANDAYANI,PPRE,PT PP PRESISI TBK
MEMBER,MUBARI,PPRE,PT PP PRESISI TBK
HEAD,LIA ITOK GARBIANTO,PPRO,PT PP PROPERTI TBK
MEMBER,M ANDI MUBAROK,PPRO,PT PP PROPERTI TBK
MEMBER,REDO HARINA HUTAMA,PPRO,PT PP PROPERTI TBK
HEAD,JOSEPH FELLIPUS PETER LUHUKAY,PRDA,PT PRODIA WIDYAHUSADA TBK
MEMBER,KERI LESTARI DANDAN,PRDA,PT PRODIA WIDYAHUSADA TBK
MEMBER,SIGID MOERKARDJONO,PRDA,PT PRODIA WIDYAHUSADA TBK
HEAD,FERRY YENNOTO,PSDN,PRASIDHA ANEKA NIAGA TBK
MEMBER,KASMITA WIJAYA,PSDN,PRASIDHA ANEKA NIAGA TBK
MEMBER,HENRYANTO HANDHOKO PETRUS,PSDN,PRASIDHA ANEKA NIAGA TBK
HEAD,DIKDIK SUGIHARTO,PSGO,PT PALMA SERASIH TBK
MEMBER,KURNIADI,PSGO,PT PALMA SERASIH TBK
MEMBER,PAUL RACHMAT WULLUR,PSGO,PT PALMA SERASIH TBK
HEAD,ADANG RUCHIATNA PURADIREDJA,PSKT,PT RED PLANET INDONESIA TBK
MEMBER,RADITIA CHRISTINE SENJAYA,PSKT,PT RED PLANET INDONESIA TBK
MEMBER,NADALIA SHOFIA AUDRINA,PSKT,PT RED PLANET INDONESIA TBK
HEAD,LILIS HALIM,PSSI,PT IMC PELITA LOGISTIK TBK
MEMBER,SUHARI HARLIMAN,PSSI,PT IMC PELITA LOGISTIK TBK
MEMBER,IRMA STAMBOEL,PSSI,PT IMC PELITA LOGISTIK TBK
HEAD,SUKO HARTONO,PTBA,BUKIT ASAM TBK
MEMBER,BAMBANG ISMAWAN,PTBA,BUKIT ASAM TBK
MEMBER,JENNY RIZKIANA,PTBA,BUKIT ASAM TBK
MEMBER,WAKHID KURNIAWAN SAPUTRA,PTBA,BUKIT ASAM TBK
HEAD,ANDI MUHAMMAD SOLEH,PTDU,PT DJASA UBERSAKTI TBK
MEMBER,SANDI CHANDRAPURA ROCHI,PTDU,PT DJASA UBERSAKTI TBK
MEMBER,EKO HADI SISWANTO,PTDU,PT DJASA UBERSAKTI TBK
HEAD,BASA SIDABUTAR,PTIS,INDO STRAITS TBK
MEMBER,PAUL RACHMAT WULLUR,PTIS,INDO STRAITS TBK
MEMBER,FUJI MALINDO SILABAN,PTIS,INDO STRAITS TBK
HEAD,ISTIONO,PTPP,PP (PERSERO) TBK
MEMBER,ARIA FARAH MITA,PTPP,PP (PERSERO) TBK
MEMBER,HANDOKO TRIPRIYONO,PTPP,PP (PERSERO) TBK
MEMBER,PUNDJUNG SETYA BRATA,PTPP,PP (PERSERO) TBK
HEAD,JENNY TRIJANTI,PTPW,PT PRATAMA WIDYA TBK
MEMBER,HADI CAHYADI,PTPW,PT PRATAMA WIDYA TBK
MEMBER,LIA MARSAULINA NAINGGOLAN,PTPW,PT PRATAMA WIDYA TBK
HEAD,SETIA UNTUNG ARIMULADI,PTRO,PETROSEA TBK
MEMBER,SAHAT PARDEDE,PTRO,PETROSEA TBK
MEMBER,M OKA LESMANA FIRDAUZI,PTRO,PETROSEA TBK
MEMBER,MADELIN A HARDJAPAMEKAS,PTRO,PETROSEA TBK
HEAD,HERRY SANTOSO,PTSN,SAT NUSAPERSADA TBK
MEMBER,RUSDIANA,PTSN,SAT NUSAPERSADA TBK
MEMBER,LILY,PTSN,SAT NUSAPERSADA TBK
HEAD,HERLANI SUNARDI,PTSP,PIONEERINDO GOURMET INTERNATIONAL TBK
MEMBER,TEDDY SUJANA,PTSP,PIONEERINDO GOURMET INTERNATIONAL TBK
MEMBER,ENDANG SULISTYOWATI,PTSP,PIONEERINDO GOURMET INTERNATIONAL TBK
HEAD,OCTAVIANUS HALIM,PUDP,PUDJIADI PRESTIGE TBK
MEMBER,ARDIKA MAY FENDRA,PUDP,PUDJIADI PRESTIGE TBK
MEMBER,AFIKA NUR FADILAH FIKRI,PUDP,PUDJIADI PRESTIGE TBK
HEAD,AGUS MULYANTO,PURA,PT PUTRA RAJAWALI KENCANA TBK
MEMBER,KEP SURIYANTO,PURA,PT PUTRA RAJAWALI KENCANA TBK
MEMBER,DEWI ANDRIYANI,PURA,PT PUTRA RAJAWALI KENCANA TBK
HEAD,MAZLAN A TALIB,PURI,PT PURI GLOBAL SUKSES TBK
MEMBER,DESSY FRIANI,PURI,PT PURI GLOBAL SUKSES TBK
MEMBER,RUSIDA,PURI,PT PURI GLOBAL SUKSES TBK
HEAD,DYAH PRADNYAPARAMITA DUARSA,PWON,PAKUWON JATI TBK
MEMBER,PRADHONO SEAK,PWON,PAKUWON JATI TBK
MEMBER,RIDWAN HALIM,PWON,PAKUWON JATI TBK
MEMBER,VLADIMIR I PANGEMANAN,PYFA,PT PYRIDAM FARMA TBK
MEMBER,WIRIPRASTO,PYFA,PT PYRIDAM FARMA TBK
HEAD,BRATA TARUNA HARDJOSUBROTO,PZZA,PT SARIMELATI KENCANA TBK
MEMBER,R EULIS SARTIKA,PZZA,PT SARIMELATI KENCANA TBK
MEMBER,DJOHAN WAHYUDHI,PZZA,PT SARIMELATI KENCANA TBK
HEAD,D ANDHI NIRWANTO,RAJA,RUKUN RAHARJA TBK
MEMBER,BUDI TAUFIK WIBAWA,RAJA,RUKUN RAHARJA TBK
MEMBER,ARYO WIBISNONO,RAJA,RUKUN RAHARJA TBK
HEAD,SELAMAT,RALS,RAMAYANA LESTARI SENTOSA TBK
MEMBER,RUDDY HERMAWAN WONGSO,RALS,RAMAYANA LESTARI SENTOSA TBK
MEMBER,FERONITA CY,RALS,RAMAYANA LESTARI SENTOSA TBK
HEAD,HEDY MARIA HELENA LAPIAN,RANC,SUPRA BOGA LESTARI TBK
MEMBER,JUSTINUS ADITYA SIDHARTA,RANC,SUPRA BOGA LESTARI TBK
MEMBER,STEPHANUS JUNIANTO,RANC,SUPRA BOGA LESTARI TBK
HEAD,HAMONANGAN SIANIPAR,RBMS,RISTIA BINTANG MAHKOTASEJATI TBK
MEMBER,RIFLY WEDDYANSYACH,RBMS,RISTIA BINTANG MAHKOTASEJATI TBK
MEMBER,CAESARIKA DSP,RBMS,RISTIA BINTANG MAHKOTASEJATI TBK
HEAD,SOEGITO,RDTX,RODA VIVATEX TBK
MEMBER,DERI YUDISTIRA,RDTX,RODA VIVATEX TBK
MEMBER,BENNI MOERDANI,RDTX,RODA VIVATEX TBK
HEAD,IKHWAN ABIDIN,REAL,PT REPOWER ASIA INDONESIA TBK
MEMBER,ABSAR JANNATIN,REAL,PT REPOWER ASIA INDONESIA TBK
MEMBER,SALADIN TALIB,REAL,PT REPOWER ASIA INDONESIA TBK
HEAD,INDRA SAFITRI,RELI,RELIANCE SEKURITAS INDONESIA TBK
MEMBER,TORANG SITANGGANG,RELI,RELIANCE SEKURITAS INDONESIA TBK
MEMBER,ADITYA KURNIAWAN,RELI,RELIANCE SEKURITAS INDONESIA TBK
HEAD,SUBANDI SIHMAN,RICY,RICKY PUTRA GLOBALINDO TBK
MEMBER,RAYMOND ELLION,RICY,RICKY PUTRA GLOBALINDO TBK
MEMBER,SURYA JUNAWAN,RICY,RICKY PUTRA GLOBALINDO TBK
HEAD,MOHAMMAD RAYLAN,RISE,PT JAYA SUKSES MAKMUR SENTOSA TBK
MEMBER,BUDI AGUSTI,RISE,PT JAYA SUKSES MAKMUR SENTOSA TBK
MEMBER,PAULUS,RISE,PT JAYA SUKSES MAKMUR SENTOSA TBK
HEAD,F SAUD TAMBA TUA,RMKE,PT RMK ENERGY TBK
MEMBER,AGUSTINUS ESTANTO,RMKE,PT RMK ENERGY TBK
MEMBER,RAMA ARI SHANDHI,RMKE,PT RMK ENERGY TBK
HEAD,ROBERT JOPPY KARDINAL,ROCK,PT ROCKFIELDS PROPERTI INDONESIA TBK
MEMBER,EVANGELISTA ERVANDY,ROCK,PT ROCKFIELDS PROPERTI INDONESIA TBK
MEMBER,WINNY WIJAYANTI,ROCK,PT ROCKFIELDS PROPERTI INDONESIA TBK
HEAD,DAUD GOZALI,RODA,PIKKO LAND DEVELOPMENT TBK
MEMBER,VANIA,RODA,PIKKO LAND DEVELOPMENT TBK
MEMBER,PAULINA ARYANTI,RODA,PIKKO LAND DEVELOPMENT TBK
HEAD,SANTOSO WIDJOJO,RONY,PT ARACORD NUSANTARA GROUP TBK
MEMBER,CHRISTIANTO WIDJAJA,RONY,PT ARACORD NUSANTARA GROUP TBK
MEMBER,ROBIET,RONY,PT ARACORD NUSANTARA GROUP TBK
HEAD,SIK WEI TJIEN,ROTI,PT NIPPON INDOSARI CORPINDO TBK
MEMBER,SAMSUL ERNI,ROTI,PT NIPPON INDOSARI CORPINDO TBK
MEMBER,NDAT NATANAEL BRAHMANA,ROTI,PT NIPPON INDOSARI CORPINDO TBK
HEAD,MURNIADI CHANDRA,RSGK,PT KEDOYA ADYARAYA TBK
MEMBER,PATRICIA M SUGONDO,RSGK,PT KEDOYA ADYARAYA TBK
MEMBER,ARIBOWO,RSGK,PT KEDOYA ADYARAYA TBK
HEAD,NINO FEDIAWAN KUSMEDI,RUIS,RADIANT UTAMA INTERINSCO TBK
MEMBER,ASEP HIKMAT,RUIS,RADIANT UTAMA INTERINSCO TBK
MEMBER,TJAHJO DAHONO,RUIS,RADIANT UTAMA INTERINSCO TBK
HEAD,INDRAWAN NUGROHO,RUNS,PT GLOBAL SUKSES SOLUSI TBK
MEMBER,ARIEF RAHMAN,RUNS,PT GLOBAL SUKSES SOLUSI TBK
MEMBER,EMHA TAUFIQ LUTHFI,RUNS,PT GLOBAL SUKSES SOLUSI TBK
HEAD,EFRIS INDRIA,SAFE,STEADY SAFE TBK
MEMBER,DAVID ISKANDAR,SAFE,STEADY SAFE TBK
MEMBER,NISA WILDANINGRUM SAPUTRI,SAFE,STEADY SAFE TBK
HEAD,ROBERT PAKPAHAN,SAME,SARANA MEDITAMA METROPOLITAN TBK
MEMBER,UNGGUNG CAHYONO,SAME,SARANA MEDITAMA METROPOLITAN TBK
MEMBER,PATRICIA MARINA SUGONDO,SAME,SARANA MEDITAMA METROPOLITAN TBK
HEAD,DJONI S SOETOJO,SAMF,PT SARASWANTI ANUGERAH MAKMUR TBK
MEMBER,WAHYU PURWANDAKA,SAMF,PT SARASWANTI ANUGERAH MAKMUR TBK
MEMBER,ADE IRMA HIDAYAH,SAMF,PT SARASWANTI ANUGERAH MAKMUR TBK
HEAD,GILARSI WAHJU SETIJONO,SAPX,PT SATRIA ANTARAN PRIMA TBK
MEMBER,R NUGROHO BINARTO,SAPX,PT SATRIA ANTARAN PRIMA TBK
MEMBER,LIES RETNO DUMILAH,SAPX,PT SATRIA ANTARAN PRIMA TBK
HEAD,IBNU DODY PRAYITNO,SATU,PT KOTA SATU PROPERTI TBK
MEMBER,YANITA KURNIADI,SATU,PT KOTA SATU PROPERTI TBK
MEMBER,ALEXANDER EKO NUGROHO,SATU,PT KOTA SATU PROPERTI TBK
HEAD,M SLAMET BROTOSISWOYO,SBMA,PT SURYA BIRU MURNI ACETYLENE TBK
MEMBER,MAURICE GANDA NAINGGOLAN,SBMA,PT SURYA BIRU MURNI ACETYLENE TBK
MEMBER,DWI IRMA AMN,SBMA,PT SURYA BIRU MURNI ACETYLENE TBK
HEAD,DEWA NYOMAN ADNYANA,SCCO,PT SUPREME CABLE MANUFACTURING & COMMERCE TBK
MEMBER,NENY MUSTIKA SUSENO,SCCO,PT SUPREME CABLE MANUFACTURING & COMMERCE TBK
MEMBER,ADIWINATA,SCCO,PT SUPREME CABLE MANUFACTURING & COMMERCE TBK
HEAD,SURYANI ZAINI,SCMA,SURYA CITRA MEDIA TBK
MEMBER,PATRICIA M SUGONDO,SCMA,SURYA CITRA MEDIA TBK
MEMBER,PETRUS NUGROHO WICAKSONO,SCMA,SURYA CITRA MEDIA TBK
HEAD,LIRIS SURYANTO,SCNP,PT SELARAS CITRA NUSANTARA PERKASA TBK
MEMBER,ZULFITRY RAMDAN,SCNP,PT SELARAS CITRA NUSANTARA PERKASA TBK
MEMBER,SETIYO BONOROWANTO,SCNP,PT SELARAS CITRA NUSANTARA PERKASA TBK
HEAD,HARTONO GANI,SDMU,SIDOMULYO SELARAS TBK
MEMBER,HERMAN,SDMU,SIDOMULYO SELARAS TBK
MEMBER,FARID,SDMU,SIDOMULYO SELARAS TBK
HEAD,SARAH AZREEN BINTI ABDUL SAMAT,SDPC,MILLENNIUM PHARMACON INTERNATIONAL TBK
MEMBER,IMAM FATHORRAHMAN,SDPC,MILLENNIUM PHARMACON INTERNATIONAL TBK
MEMBER,ARY GUNAWAN,SDPC,MILLENNIUM PHARMACON INTERNATIONAL TBK
MEMBER,ZULKIFLI BIN JAFAR,SDPC,MILLENNIUM PHARMACON INTERNATIONAL TBK
HEAD,ADI HARYADI,SDRA,PT BANK WOORI SAUDARA INDONESIA 1906 TBK
MEMBER,AGUS SETIADJAJA,SDRA,PT BANK WOORI SAUDARA INDONESIA 1906 TBK
MEMBER,INDRA NUGRAHA,SDRA,PT BANK WOORI SAUDARA INDONESIA 1906 TBK
HEAD,HERNADI BUHRON,SEMA,PT SEMACOM INTEGRATED TBK
MEMBER,GEMA RAMADHAN,SEMA,PT SEMACOM INTEGRATED TBK
MEMBER,MADELIN A HARDJAPAMEKAS,SEMA,PT SEMACOM INTEGRATED TBK
HEAD,SYAMSUL BAHRI ILYAS,SFAN,PT SURYA FAJAR CAPITAL TBK
MEMBER,HERLINA SITORUS,SFAN,PT SURYA FAJAR CAPITAL TBK
MEMBER,SARY,SFAN,PT SURYA FAJAR CAPITAL TBK
HEAD,ERWIN HARDIYANTO TEDJO,SGER,PT SUMBER GLOBAL ENERGY TBK
MEMBER,IMELDA OMAR,SGER,PT SUMBER GLOBAL ENERGY TBK
MEMBER,ELLEN SUSILO,SGER,PT SUMBER GLOBAL ENERGY TBK
HEAD,SAUD USMAN NASUTION,SGRO,PT SAMPOERNA AGRO TBK
MEMBER,SUKARNEN,SGRO,PT SAMPOERNA AGRO TBK
MEMBER,PRADHONO,SGRO,PT SAMPOERNA AGRO TBK
HEAD,BUDIARTO SUBROTO DEA,SHID,HOTEL SAHID JAYA TBK
MEMBER,L SRI MARDINI,SHID,HOTEL SAHID JAYA TBK
MEMBER,SAYEKTI,SHID,HOTEL SAHID JAYA TBK
HEAD,MOHAMMAD NOOR RACHMAN SOEJOETI,SHIP,PT SILLO MARITIME PERDANA TBK
MEMBER,JUNINHO WIDJAJA,SHIP,PT SILLO MARITIME PERDANA TBK
MEMBER,ZULFITRY RAMDAN,SHIP,PT SILLO MARITIME PERDANA TBK
HEAD,DODI PRAWIRA AMTAR,SICO,PT SIGMA ENERGY COMPRESSINDO TBK
MEMBER,CYNTHIA AFRIANI,SICO,PT SIGMA ENERGY COMPRESSINDO TBK
MEMBER,TJONG LIE IN,SICO,PT SIGMA ENERGY COMPRESSINDO TBK
HEAD,LINDAWATI GANI,SIDO,PT INDUSTRI JAMU DAN FARMASI SIDO MUNCUL TBK
MEMBER,HERWAN NG,SIDO,PT INDUSTRI JAMU DAN FARMASI SIDO MUNCUL TBK
